seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
4,512,1,fid50k_full,B-D,-29.284986275434406,True,PASS
4,512,1,fid50k_full,D-A,24.91983676558631,True,PASS
4,512,1,fid50k_full,B-C,-1.8081337391115433,True,PASS
4,512,1,fid50k_full,interaction_B-C-D+A,-26.727970504697858,True,PASS
4,512,1,kid50k_full,B-A,-0.0038187623948949083,True,PASS
4,512,1,kid50k_full,C-A,-0.0023666617417417643,True,PASS
4,512,1,kid50k_full,B-D,-0.027973195472973007,True,PASS
4,512,1,kid50k_full,D-A,0.0241544330780781,True,PASS
4,512,1,kid50k_full,B-C,-0.001452100653153144,True,PASS
4,512,1,kid50k_full,interaction_B-C-D+A,-0.02560653373123124,True,PASS
4,512,2,fid50k_full,B-A,-0.720354273086115,True,PASS
4,512,2,fid50k_full,C-A,-0.6144903643569819,True,PASS
4,512,2,fid50k_full,B-D,-7.192652392374768,True,PASS
4,512,2,fid50k_full,D-A,6.472298119288653,True,PASS
4,512,2,fid50k_full,B-C,-0.1058639087291331,True,PASS
4,512,2,fid50k_full,interaction_B-C-D+A,-6.578162028017787,True,PASS
4,512,2,kid50k_full,B-A,-0.0002932560710710596,True,PASS
4,512,2,kid50k_full,C-A,-2.461759009007424e-05,True,PASS
4,512,2,kid50k_full,B-D,-0.005271630165165129,True,PASS
4,512,2,kid50k_full,D-A,0.004978374094094069,True,PASS
4,512,2,kid50k_full,B-C,-0.00026863848098098537,True,PASS
4,512,2,kid50k_full,interaction_B-C-D+A,-0.005247012575075054,True,PASS
4,640,1,fid50k_full,B-A,0.3502175493773798,True,PASS
4,640,1,fid50k_full,C-A,1.8680582913286212,True,PASS
4,640,1,fid50k_full,B-D,-1.018421438596775,True,PASS
4,640,1,fid50k_full,D-A,1.3686389879741547,True,PASS
4,640,1,fid50k_full,B-C,-1.5178407419512414,True,PASS
4,640,1,fid50k_full,interaction_B-C-D+A,-2.886479729925396,True,PASS
4,640,1,kid50k_full,B-A,0.00026161825075078464,True,PASS
4,640,1,kid50k_full,C-A,0.001586117515015026,True,PASS
4,640,1,kid50k_full,B-D,-0.0010051536986986917,True,PASS
4,640,1,kid50k_full,D-A,0.0012667719494494764,True,PASS
4,640,1,kid50k_full,B-C,-0.0013244992642642414,True,PASS
4,640,1,kid50k_full,interaction_B-C-D+A,-0.002591271213713717,True,PASS
4,640,2,fid50k_full,B-A,-0.1009309175936357,True,PASS
4,640,2,fid50k_full,C-A,-0.016250518240518375,True,PASS
4,640,2,fid50k_full,B-D,-0.1441177563634648,True,PASS
4,640,2,fid50k_full,D-A,0.043186838769829095,True,PASS
4,640,2,fid50k_full,B-C,-0.08468039935311733,True,PASS
4,640,2,fid50k_full,interaction_B-C-D+A,-0.12786723812294642,True,PASS
4,640,2,kid50k_full,B-A,-0.00014530887887885904,True,PASS
4,640,2,kid50k_full,C-A,1.2250805805847503e-05,True,PASS
4,640,2,kid50k_full,B-D,3.6348203203174405e-05,True,PASS
4,640,2,kid50k_full,D-A,-0.00018165708208203344,True,PASS
4,640,2,kid50k_full,B-C,-0.00015755968468470654,True,PASS
