budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
768,1,fid50k_full,C-A,3,0.7770127058331529,1.8342884948447544,-1.2750965208102851,2.257214953480416,1,2,0
768,1,fid50k_full,D-A,3,-0.3658735633762665,1.1739802270582995,-1.3396495853634072,0.9377455954107692,2,1,0
768,1,fid50k_full,interaction_B-C-D+A,3,-1.2411427479999777,1.9802287593017063,-2.7601281840012017,0.9984913055080593,2,1,0
768,1,kid50k_full,B-A,3,-0.000620079008174821,0.0008302085603626351,-0.0014225069069069233,0.0002353687512512987,2,1,0
768,1,kid50k_full,B-C,3,-0.0013963860852519083,0.001971495764647088,-0.0035817689014013884,0.00024845748498497806,2,1,0
768,1,kid50k_full,B-D,3,-0.0003281765824157375,0.00020111385797068739,-0.00047253308558556015,-9.846203703701636e-05,3,0,0
768,1,kid50k_full,C-A,3,0.0007763070770770873,0.001564364392586437,-0.0009215563538538165,0.002159261994494465,1,2,0
768,1,kid50k_full,D-A,3,-0.0002919024257590835,0.0008926747691675083,-0.0010089722822822873,0.0007079018368368589,2,1,0
768,1,kid50k_full,interaction_B-C-D+A,3,-0.0011044836594928246,0.0017439071302264833,-0.0025727966191191,0.0008230943168168001,2,1,0
768,2,fid50k_full,B-A,3,-0.10518028875439178,0.18775173981866988,-0.31506899755652595,0.04678281980889443,2,1,0
768,2,fid50k_full,B-C,3,-0.19409913683508698,0.3376374331535952,-0.5824955726751995,0.02942812362937408,2,1,0
768,2,fid50k_full,B-D,3,-0.11935041251528015,0.14060273436690124,-0.28045537794194164,-0.021390417124802052,3,0,0
768,2,fid50k_full,C-A,3,0.08891884808069521,0.17241734982638787,-0.0766828121449179,0.2674265751186735,1,2,0
768,2,fid50k_full,D-A,3,0.014170123760888368,0.07704306634701291,-0.03461361961458431,0.10298826228799118,2,1,0
768,2,fid50k_full,interaction_B-C-D+A,3,-0.20826926059597536,0.30869506588210666,-0.5478819530606152,0.05529239502011585,2,1,0
768,2,kid50k_full,B-A,3,-0.000195447023690349,0.00015864094980090761,-0.00031923846346349817,-1.661666166166936e-05,3,0,0
768,2,kid50k_full,B-C,3,-3.0199766433300214e-06,5.106308756257278e-05,-4.035790040044949e-05,5.516921421424279e-05,2,1,0
768,2,kid50k_full,B-D,3,-0.00014137968968968225,0.0001261673769049846,-0.00027663906406405177,-2.687908158157835e-05,3,0,0
768,2,kid50k_full,C-A,3,-0.00019242704704701898,0.00017344677720031615,-0.0003056551601601223,7.254582082114004e-06,2,1,0
768,2,kid50k_full,D-A,3,-5.406733400066677e-05,0.00016410636073415253,-0.00022360686436430116,0.00010400426176174725,2,1,0
768,2,kid50k_full,interaction_B-C-D+A,3,5.104735735733675e-05,0.00020767254649349428,-0.00012787550550553061,0.00027877607857854396,1,2,0
896,1,fid50k_full,B-A,3,-0.5755087835147185,0.7780540538633096,-1.2977892341879027,0.24834228421119597,2,1,0
896,1,fid50k_full,B-C,3,-0.9631027261154662,1.4197070481350078,-2.519455706745374,0.26104702829445436,2,1,0
896,1,fid50k_full,B-D,3,-0.17741778955934784,0.2211473519536314,-0.3225039671348391,0.07711060655704749,2,1,0
896,1,fid50k_full,C-A,3,0.3875939426007478,1.160803404672151,-0.9381264288619029,1.2216664725574713,1,2,0
896,1,fid50k_full,D-A,3,-0.39809099395537056,0.8157806366504162,-0.9752852670530636,0.5352022923114479,2,1,0
896,1,fid50k_full,interaction_B-C-D+A,3,-0.5650117321600957,1.3815294427297513,-1.5441704396923104,1.0152370354189504,2,1,0
896,1,kid50k_full,B-A,3,-0.000348027309809792,0.00047379473308297083,-0.0008142636086085706,0.00013298040040040596,2,1,0
896,1,kid50k_full,B-C,3,-0.0007497403845511995,0.0011077493348180113,-0.0019327996171170985,0.0002629622697697823,2,1,0
896,1,kid50k_full,B-D,3,5.4550058391847345e-06,0.0002122236336833197,-0.00016330596846845374,0.00024371424674674447,2,1,0
896,1,kid50k_full,C-A,3,0.0004017130747414075,0.0009126998958908899,-0.0006257609909909936,0.001118536008508528,1,2,0
896,1,kid50k_full,D-A,3,-0.00035348231564897675,0.0005672851666428576,-0.0007502203478478341,0.0002962863688688597,2,1,0
896,1,kid50k_full,interaction_B-C-D+A,3,-0.0003962580689022231,0.00110684637627031,-0.0011825792692692653,0.0008694752377377381,2,1,0
896,2,fid50k_full,B-A,3,-0.06194289907324535,0.1448354232204257,-0.21548910027631063,0.07223205595408677,2,1,0
896,2,fid50k_full,B-C,3,-0.11602213808504629,0.26575404323293605,-0.4228855651446257,0.038566876006775,1,2,0
