seed,arm,budget_kimg,state_sha256,state_hash_verified,snapshot_sha256,snapshot_hash_verified,ema_canonical_sha256,rng_unchanged_during_export,receipt_status
4,Bsame,256,0a129c9f81736b7975150f445b95103245593befa12bdb72eec8903a2e7c0b99,True,dea707ff3c032a9edfdb1b40e51f11c8015456c446844383e08359d77c33d882,True,8e6616e2a7949dcd6e80bfe3670577839f1e2eb85675f7cd499ac0e629563831,True,PASS
4,Bsame,384,6248b78b49e1805692ca7891bdf0f99b60dd7796cac9dd5baa71a3c7abb065f5,True,746620625269c6f52bd7d861280caf33a32d6f4f7ed87706767130e361d97b08,True,9f07ab3ce64fe9a62ae0c29cd933faecaeffc75028d4d0a8e9d380ead22287cc,True,PASS
4,Bsame,512,a0b6502d24bb51687d5ec729bc167fc8910cc685a1a4ed5a36036efd775fa35e,True,9bebca14df6321e24a004514498f775767e2c6b50a04df758bc0580104f7b36c,True,18e99c40113a316a7a915d71b20cd7736c320054f8b6aabdaa7d9b3a47440e3d,True,PASS
4,Bsame,640,c53957cc1d07d0bb3faf8171e01d1cc16ce28c946fde77ac6e196e63e8c1e381,True,388f1be9b31bba8fc006b5684ee3f051212ea20de8400a7aae982898c9b53e88,True,cd77aae883af466492f7f731cd04b11dcd950438f13717b7f95471c9a47c3e3f,True,PASS
4,Bsame,768,290d0f8019a8238b3e0584ec8ca379423d8ed5c028c9c08d18c4eafaf208f380,True,f05ecd96cadee178996e698f51e6fae8860bcf993c403bd6b851c74996f3bb3c,True,842b10bd5d533877243532de324cc236b9af614b07fb194ad9903492c93d7450,True,PASS
4,Bsame,896,a2efcb30c131f6379429b8bc260f3ef62a3c936f6c0f2bc16b0b932e829637e4,True,b0eff2c95193c629af0514fee32ae3c37afdfb7dc97c2014adeee574f6ad6e41,True,25a7021011df1af570a72a3df8bbd4cce5994c25cafb8414c52dd2da9c9f191a,True,PASS
4,Bsame,1024,37e47de7e4f0f6d96ee5be51eb44265837042f285ec613831c8b4b53ad9b66fa,True,37df2583f566b31d3b373c8af2b5fd1f69a097828c9362aad89bdbb7323ee7ca,True,d7457975bfcf35963ee38ffce9abb542f16fa7297fabb8a8972bc190a280347d,True,PASS
4,Cmatch,256,1e193325c1ee8db78c94e3f435b73b1dc969877f7063c9012e11aef754b67edf,True,e100361a527f2343e1c5a9da48261d4d98a5de22859402f01e2b5d2829298af7,True,30dd0b9221c2ad323c57660296c164728dda25855a6820640a45d774d2b870b9,True,PASS
4,Cmatch,384,466856b65f26c7563c18e4cfee05e4d93bc31a30b6138e942eb5f190b323a5e5,True,0623857de32d66c6a7a956e49943e3ebf0b5d65c37aea73e4edaf42e983e0ba6,True,dfbe167825112e23a8331d1601ad86b46840e40716a06e6fc766175486464430,True,PASS
4,Cmatch,512,df000914bde6f71444299e57806ff6415b605ff8d04c312bdc824837e6e75ba9,True,d47f9f03d431fb26a58d061fa7b2991b90e66a38b19ce297cd91a17e15e6df4f,True,610cdaa999a8506d04c71ec54c556b4dc38e39a9515112d85fbace5bfea5d65f,True,PASS
4,Cmatch,640,de0228056fb7304895b92732bc99951f18e3981955ee72d2e9926d52e7386e2c,True,4510e5b2b2dce802ca2d1941045a83818af8e45fcf09141af025e5487f19398b,True,814f6bf7b341d6a930562722fcaf775c432279c24e0e330014987ac772fddbfb,True,PASS
4,Cmatch,768,b6e59c5ccb77d68c0c3f66c62036c9c623454a7d247c8a3754593e9598a87590,True,4e5834bae00a67cbb89ca9951d991f433ce9e121a39286c8b5668245d6e44167,True,5639a0118670928cc60d1b049dcfc3eca502aa9a9f4e5fcfa98221c6b2b40c65,True,PASS
4,Cmatch,896,3be53f818f498dd65bdb830773d5629b624cf04ebae518030295343cc5bad77f,True,68fc9bbac47066465c73a175365e58bb1dd511ff9c8d672a1962c1e71df4223b,True,918c4879664c51ba0170dfb95cd3834ae39ef0a6cb6c9b33d6f94cc5e83a307d,True,PASS
4,Cmatch,1024,5d834f23e97d5dd78d1bd02ecba2449a1813de9ac14fc8700e3d707441ae9ae7,True,e9ed699cf5e98c3099872c983179c562e5ae46c36521e8315b62df790f804653,True,41991b25a365061ebd049da9f8b58fe4bea428afdfbf186928a14c912bb16694,True,PASS
4,Dmatch,256,fb7bdf8d230fb4d89e200c9e215e35943c26b2c870014e9625d1000691b5e563,True,ea3477f457a61a1e952613d5bcc14d6413c43f366c6f6d579a90308ea399905c,True,6feda42b5b6cdb078c467fa37ec367f5ebd3febb92170d29e1ffef7482a537c1,True,PASS
4,Dmatch,384,579ad51ac322d854fcc3ab7c2d970c12e78b5fc65e88a756f18e927a47b30f41,True,dfe1d3047559379a29a041cf4ed8b5a3384c75401e422b9601b48bea3eaaff42,True,55777704d59d75180b08a5a68130f37763773f65f602d3595bd1ba61ded4b41f,True,PASS
4,Dmatch,512,af094e9b2a4b7c3097f8c51ceb1a00663b3d59a2a0a7f08c04c1744815a3c20d,True,21995f2a1ce804c3d858db5203f1b7893f4ed06d34746d088066649810d2f2ce,True,c0b2267d5d2afc16cc8e63d7f0c3b7041603d180028be554677a037d0fa07a08,True,PASS
4,Dmatch,640,d0a8cd7ffaf88bd4126bef1caa2c6eb16e0010b5439c5ceeba5b0f1472827f89,True,f36594ee81f438b668c59c858277e786de322587b4e8f476c8b7fb932847f268,True,727ceff3aec68690e907d7f0c378b9580232bc7e2a1f6912f63860949ec4dce0,True,PASS
4,Dmatch,768,d617cc848c6dab5a76ab22a25f8a66ad5d28b0fa9b3d2ecdde1a85e621bb6a98,True,656773f484441bef662c86473c7c3920b9bac478085d84529a1905f8cd0dc502,True,1a2f17494b2c3ee88ab51ef1ab08badb747f72bdc70ff48117518cf62628ce43,True,PASS
4,Dmatch,896,bfa7bec32d2f206fdf7fb2daccff23e386cc1ed965b95c4589e8c07251240fef,True,ccb1bb70934e89437c263c917cb5ecb27bbd155ce2e5d927f821b86ec27e9beb,True,b88c5846c315a9bd1cbf1e1487442766f534f869b2f9190c5a694901fda15349,True,PASS
4,Dmatch,1024,b2c2eb10cd29ad3f38253afb36f02c17f5dcfc66a3300f2ca8ada12128d36919,True,225c8eca9464480dba6f58267b9c0426c437ae1473af86a49bd6179d4b7c5810,True,dfb2442f47c13e2492dd68e9d69efbb6ed579f1c1e85a427a61bf6f6ef09a425,True,PASS
