eta_scale,setting,g,K,env,error
0.25,realistic,1.125,200,2,373.75216206816896
0.25,realistic,1.15,200,1,0.028896613354914866
0.25,realistic,1.15,200,2,360.85324249796554
0.25,realistic,1.175,200,1,0.02915001800775295
0.25,realistic,1.175,200,2,348.8193709494201
0.25,realistic,1.2,200,1,0.029413425825413175
0.25,realistic,1.2,200,2,337.58167598015
0.25,realistic,1.225,200,1,0.029687256944199766
0.25,realistic,1.225,200,2,327.07837430542907
0.25,realistic,1.25,200,1,0.0299719590277162
0.25,realistic,1.25,200,2,317.2539392703246
0.25,realistic,1.275,200,1,0.030268009433834068
0.25,realistic,1.275,200,2,308.05838324742723
0.25,realistic,1.3,200,1,0.030575917594165426
0.25,realistic,1.3,200,2,299.4466367106712
0.25,realistic,1.325,200,1,0.030896227630555252
0.25,realistic,1.325,200,2,291.3780096499502
0.25,realistic,1.35,200,1,0.03122952123639652
0.25,realistic,1.35,200,2,283.81572337299275
0.25,realistic,1.375,200,1,0.03157642085439552
0.25,realistic,1.375,200,2,276.72650269522074
0.25,realistic,1.4,200,1,0.03193759318678353
0.25,realistic,1.4,200,2,270.0802201306332
0.25,realistic,1.425,200,1,0.03231375307909494
0.25,realistic,1.425,200,2,263.8495850305183
0.25,realistic,1.45,200,1,0.032705667824535795
0.25,realistic,1.45,200,2,258.0098717271288
0.25,realistic,0.5,1000,1,0.024918908258323363
0.25,realistic,0.5,1000,2,1642.204364346056
0.25,realistic,0.525,1000,1,0.025004794759984045
0.25,realistic,0.525,1000,2,1495.9342692478888
0.25,realistic,0.55,1000,1,0.025095446773550318
0.25,realistic,0.55,1000,2,1369.1785929444911
0.25,realistic,0.575,1000,1,0.025190953719455813
0.25,realistic,0.575,1000,2,1258.620781809647
0.25,realistic,0.6,1000,1,0.025291410870541455
0.25,realistic,0.6,1000,2,1161.6204857500966
0.25,realistic,0.625,1000,1,0.02539691961431669
0.25,realistic,0.625,1000,2,1076.0546272857814
0.25,realistic,0.65,1000,1,0.02550758773619735
0.25,realistic,0.65,1000,2,1000.2004045221752
0.25,realistic,0.675,1000,1,0.02562352972526484
0.25,realistic,0.675,1000,2,932.648043742025
0.25,realistic,0.7,1000,1,0.025744867104242713
0.25,realistic,0.7,1000,2,872.2349601843762
0.25,realistic,0.725,1000,1,0.025871728785558025
0.25,realistic,0.725,1000,2,817.9955274549106
0.25,realistic,0.75,1000,1,0.026004251455539685
0.25,realistic,0.75,1000,2,769.1223654978934
0.25,realistic,0.775,1000,1,0.026142579989012746
0.25,realistic,0.775,1000,2,724.9362244647142
0.25,realistic,0.8,1000,1,0.02628686789677698
0.25,realistic,0.8,1000,2,684.8623503975226
0.25,realistic,0.825,1000,1,0.026437277808711707
0.25,realistic,0.825,1000,2,648.4117861020829
0.25,realistic,0.85,1000,1,0.026593981995529703
0.25,realistic,0.85,1000,2,615.1664637133389
0.25,realistic,0.875,1000,1,0.02675716293252024
0.25,realistic,0.875,1000,2,584.7672351281435
0.25,realistic,0.9,1000,1,0.02692701390896802
0.25,realistic,0.9,1000,2,556.9041968564369
0.25,realistic,0.925,1000,1,0.02710373968732732
0.25,realistic,0.925,1000,2,531.3088201617612
0.25,realistic,0.95,1000,1,0.02728755721666894
0.25,realistic,0.95,1000,2,507.7475116286297
0.25,realistic,0.975,1000,1,0.027478696405405716
0.25,realistic,0.975,1000,2,486.01631465464556
0.25,realistic,1.0,1000,1,0.027677400958851343
0.25,realistic,1.0,1000,2,465.9365266622422
0.25,realistic,1.025,1000,1,0.027883929287786907
0.25,realistic,1.025,1000,2,447.3510556397915
0.25,realistic,1.05,1000,1,0.028098555494901613
0.25,realistic,1.05,1000,2,430.1213769581277
0.25,realistic,1.075,1000,1,0.028321570446757892
0.25,realistic,1.075,1000,2,414.1249801673505
0.25,realistic,1.1,1000,1,0.028553282939816255
0.25,realistic,1.1,1000,2,399.2532177789481
0.25,realistic,1.125,1000,1,0.028794020970053694
0.25,realistic,1.125,1000,2,385.4094854409866
0.25,realistic,1.15,1000,1,0.02904413311684243
0.25,realistic,1.15,1000,2,372.50767657645304
0.25,realistic,1.175,1000,1,0.029303990053041813
0.25,realistic,1.175,1000,2,360.47086534366804
0.25,realistic,1.2,1000,1,0.029573986194721236
0.25,realistic,1.2,1000,2,349.23018034328106
0.25,realistic,1.225,1000,1,0.029854541505590654
0.25,realistic,1.225,1000,2,338.72383833434776
0.25,realistic,1.25,1000,1,0.030146103473127666
0.25,realistic,1.25,1000,2,328.8963127064572
0.25,realistic,1.275,1000,1,0.030449149275552975
0.25,realistic,1.275,1000,2,319.69761587747126
0.25,realistic,1.3,1000,1,0.03076418816130954
0.25,realistic,1.3,1000,2,311.08267836734035
0.25,realistic,1.325,1000,1,0.031091764065561744
0.25,realistic,1.325,1000,2,303.0108102127125
0.25,realistic,1.35,1000,1,0.031432458491517434
0.25,realistic,1.35,1000,2,295.44523276881193
0.25,realistic,1.375,1000,1,0.03178689368820087
0.25,realistic,1.375,1000,2,288.3526708993011
0.25,realistic,1.4,1000,1,0.032155736160671015
0.25,realistic,1.4,1000,2,281.7029971671542
0.25,realistic,1.425,1000,1,0.03253970055380745
0.25,realistic,1.425,1000,2,275.4689209733735
0.25,realistic,1.45,1000,1,0.03293955395668625
0.25,realistic,1.45,1000,2,269.62571670065876
0.5,trace_matched,0.5,50,1,0.0513317724611595
0.5,trace_matched,0.5,50,2,0.05136616364880873
0.5,trace_matched,0.525,50,1,0.0516853728932547
0.5,trace_matched,0.525,50,2,0.05172358811652845
0.5,trace_matched,0.55,50,1,0.05206137677492457
0.5,trace_matched,0.55,50,2,0.05210360113134649
0.5,trace_matched,0.575,50,1,0.05246068965010442
0.5,trace_matched,0.575,50,2,0.052507108074733626
0.5,trace_matched,0.6,50,1,0.05288426474193232
0.5,trace_matched,0.6,50,2,0.05293506200402178
0.5,trace_matched,0.625,50,1,0.053333128620017496
0.5,trace_matched,0.625,50,2,0.05338848931806761
0.5,trace_matched,0.65,50,1,0.05380839326433472
0.5,trace_matched,0.65,50,2,0.05386850182039455
0.5,trace_matched,0.675,50,1,0.054311264960321175
0.5,trace_matched,0.675,50,2,0.054376305613736124
0.5,trace_matched,0.7,50,1,0.05484305311911079
0.5,trace_matched,0.7,50,2,0.054913209919721755
0.5,trace_matched,0.725,50,1,0.05540517991253397
0.5,trace_matched,0.725,50,2,0.055480636713277465
0.5,trace_matched,0.75,50,1,0.055999191039856656
0.5,trace_matched,0.75,50,2,0.0560801314886954
0.5,trace_matched,0.775,50,1,0.05662676782697077
0.5,trace_matched,0.775,50,2,0.05671337535807188
0.5,trace_matched,0.8,50,1,0.05728974085736793
0.5,trace_matched,0.8,50,2,0.05738219868143329
0.5,trace_matched,0.825,50,1,0.057990105361797974
0.5,trace_matched,0.825,50,2,0.058088596455437416
0.5,trace_matched,0.85,50,1,0.05873003863193084
0.5,trace_matched,0.85,50,2,0.0588347457259522
0.5,trace_matched,0.875,50,1,0.05951191977032818
0.5,trace_matched,0.875,50,2,0.05962302533679877
0.5,trace_matched,0.9,50,1,0.06033835214568044
0.5,trace_matched,0.9,50,2,0.06045603838359163
0.5,trace_matched,0.925,50,1,0.06121218899075817
0.5,trace_matched,0.925,50,2,0.06133663781009739
0.5,trace_matched,0.95,50,1,0.06213656266364656
0.5,trace_matched,0.95,50,2,0.06226795566764907
0.5,trace_matched,0.975,50,1,0.0631149181940819
0.5,trace_matched,0.975,50,2,0.06325343665939527
0.5,trace_matched,1.0,50,1,0.06415105186068495
0.5,trace_matched,1.0,50,2,0.06429687671513343
0.5,trace_matched,1.025,50,1,0.06524915569732946
0.5,trace_matched,1.025,50,2,0.06540246749490908
0.5,trace_matched,1.05,50,1,0.06641386901528
0.5,trace_matched,1.05,50,2,0.06657484790794824
0.5,trace_matched,1.075,50,1,0.06765033826175414
0.5,trace_matched,1.075,50,2,0.06781916396749464
0.5,trace_matched,1.1,50,1,0.06896428682784454
0.5,trace_matched,1.1,50,2,0.06914113859438853
0.5,trace_matched,1.125,50,1,0.07036209678580405
0.5,trace_matched,1.125,50,2,0.07054715334926549
0.5,trace_matched,1.15,50,1,0.07185090499951123
0.5,trace_matched,1.15,50,2,0.07204434453704171
0.5,trace_matched,1.175,50,1,0.07343871664159614
0.5,trace_matched,1.175,50,2,0.07364071671697582
0.5,trace_matched,1.2,50,1,0.07513453990546752
0.5,trace_matched,1.2,50,2,0.07534527740631371
0.5,trace_matched,1.225,50,1,0.07694854667312659
0.5,trace_matched,1.225,50,2,0.07716819773810431
0.5,trace_matched,1.25,50,1,0.07889226516274672
0.5,trace_matched,1.25,50,2,0.07912100509679135
0.5,trace_matched,1.275,50,1,0.0809788122327533
