control,eta_scale,g,K,noise,error
fixed_lr,0.05,1.7,1000,0.05,0.0003246134392643665
fixed_lr,0.05,1.75,50,0.0,9.877042280030321e-05
fixed_lr,0.05,1.75,50,0.01,9.925377335759394e-05
fixed_lr,0.05,1.75,50,0.05,0.00011085418673257212
fixed_lr,0.05,1.75,200,0.0,9.871770006151277e-05
fixed_lr,0.05,1.75,200,0.01,0.00010055459603567593
fixed_lr,0.05,1.75,200,0.05,0.0001446400994155914
fixed_lr,0.05,1.75,1000,0.0,9.843702139120877e-05
fixed_lr,0.05,1.75,1000,0.01,0.00010748063474893621
fixed_lr,0.05,1.75,1000,0.05,0.0003245273553343941
fixed_lr,0.05,1.8,50,0.0,9.876928130393479e-05
fixed_lr,0.05,1.8,50,0.01,9.925102710573549e-05
fixed_lr,0.05,1.8,50,0.05,0.0001108129263489526
fixed_lr,0.05,1.8,200,0.0,9.871350880785635e-05
fixed_lr,0.05,1.8,200,0.01,0.00010054876526462164
fixed_lr,0.05,1.8,200,0.05,0.0001445949202269884
fixed_lr,0.05,1.8,1000,0.0,9.84165990085433e-05
