layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual
model.dec.32x32_block0.norm1,1.0,2.1906003300587122,1.0,1.0,0.0
model.dec.32x32_block0.norm1,1.2,1.8140939274444987,0.8281058954550374,0.9999752606320713,0.007034068795589221
model.dec.32x32_block0.norm1,1.3,1.670047969200514,0.7623253900798247,0.9999414878606391,0.010817617808542807
model.dec.32x32_block0.skip,0.9,9.418665629895992,1.114282668889725,0.9999847212691958,0.005527859275420282
model.dec.32x32_block0.skip,1.0,8.452542597673125,1.0,1.0,0.0
model.dec.32x32_block0.skip,1.2,6.998538061048368,0.8279547864936163,0.999969285119,0.00783765389616541
model.dec.32x32_block0.skip,1.3,6.440660313318849,0.7619275486767533,0.9999324212477051,0.011625529566530835
model.dec.32x32_block1.affine,0.9,1.4973759186312545,1.1143898100072247,0.9999799436782923,0.006333422547054543
model.dec.32x32_block1.affine,1.0,1.3436464272482946,1.0,1.0,0.0
model.dec.32x32_block1.affine,1.2,1.1123114801955438,0.8277788148600645,0.9999375776855434,0.01117321495218395
model.dec.32x32_block1.affine,1.3,1.0233635274450446,0.7615261651879968,0.999861616785922,0.016635722955189405
model.dec.32x32_block1.conv0,0.9,0.9760273203007241,1.1152954802729234,0.9999829712083551,0.005835862687734614
model.dec.32x32_block1.conv0,1.0,0.8751140096936535,1.0,1.0,0.0
model.dec.32x32_block1.conv0,1.2,0.7236682872368637,0.8269090541097507,0.999960493995111,0.00888878220306632
model.dec.32x32_block1.conv0,1.3,0.6655211357718566,0.7604292065890287,0.9999115224109303,0.01330215583488361
model.dec.32x32_block1.conv1,0.9,0.3546182636985954,1.1144899622800326,0.9999847110314448,0.005529710965099468
model.dec.32x32_block1.conv1,1.0,0.31818397110158164,1.0,1.0,0.0
model.dec.32x32_block1.conv1,1.2,0.2635625304147019,0.8283066291284255,0.9999672264914102,0.008096044903334283
model.dec.32x32_block1.conv1,1.3,0.24251796277445403,0.7621388210299217,0.9999274026209254,0.012049460061334017
model.dec.32x32_block1.norm0,0.9,4.143760859149705,1.117798998623227,0.9999831830019084,0.00579945802398131
model.dec.32x32_block1.norm0,1.0,3.7070092016855933,1.0,1.0,0.0
model.dec.32x32_block1.norm0,1.2,3.0535779899773052,0.823696658539965,0.9999584430551975,0.009116587224667084
model.dec.32x32_block1.norm0,1.3,2.801707996538291,0.755711092209801,0.9999000524319325,0.014138074360329806
model.dec.32x32_block1.norm1,0.9,2.081705376114769,1.115805358076892,0.9999881210392387,0.004874195360572875
model.dec.32x32_block1.norm1,1.0,1.865630625045661,1.0,1.0,0.0
model.dec.32x32_block1.norm1,1.2,1.541019275664906,0.8259784472070221,0.9999684696170956,0.00794101830016581
model.dec.32x32_block1.norm1,1.3,1.4160807703357368,0.7589802228537883,0.9999265417779072,0.012120686782329531
model.dec.32x32_block1.skip,0.9,9.894450324426046,1.1147565232886365,0.9999872139354852,0.005056873099663004
model.dec.32x32_block1.skip,1.0,8.875771172127054,1.0,1.0,0.0
model.dec.32x32_block1.skip,1.2,7.346720461514924,0.8277026916618874,0.9999699496160859,0.007752410257618856
model.dec.32x32_block1.skip,1.3,6.759210645017601,0.7614844032360589,0.9999335231916544,0.011530359817666706
model.dec.32x32_block2.affine,0.9,1.8936131895285366,1.114324468479184,0.9999879371998868,0.004911766964679055
model.dec.32x32_block2.affine,1.0,1.6993168514333064,1.0,1.0,0.0
model.dec.32x32_block2.affine,1.2,1.4081728306378554,0.8286365313266834,0.9999596574795766,0.008982394632153196
model.dec.32x32_block2.affine,1.3,1.296022212729405,0.7626036248510407,0.9999097067513513,0.013437944203896346
model.dec.32x32_block2.conv0,0.9,1.1449866857446254,1.1147439347277437,0.9999887843780135,0.004736150143598412
model.dec.32x32_block2.conv0,1.0,1.0271182541005868,1.0,1.0,0.0
model.dec.32x32_block2.conv0,1.2,0.8506570491437446,0.828174452082895,0.9999718431421033,0.007504193693170808
