layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block1.norm1,0.00046350748453212416,0.00044821799436517516,0.9959790466299311,0.963125182672789,1.0299536126477533,0.08663134235849335,0.08958679067303592,0.0,512,512,1.0,1.0,0.963125182672789,0.08663134235849336,0.49186746987951807,0.9703042328042328,1.4261904761904762,512,0.9631624033757273,0.08667872814093801,0.969594075457493,0.003927342771199453,0.003927342772650343,0.0,0.000463529084283993,0.00044824241524191557,0.9631369576989376,1.029949965727113,0.08658551515076861,0.08953868348851224,0.0
model.dec.16x16_block1.skip,0.007112916543317646,0.0068623906782258525,0.9956682823813404,0.9605995934309004,1.0320172268650043,0.08970196818115152,0.09300331115626657,0.0,131307,131328,0.9998400950292398,1.0000000000000002,0.9605995934309002,0.0896954177845438,0.39167818740399385,0.9610524330441342,1.5281705560357242,131307,0.9605995305608255,0.08970309706011531,0.9610338999376509,0.0007858179592314466,0.0007858179589861875,2.91294604267487e-09,0.007112908371386646,0.006862382576351711,0.9605996043202664,1.0320173040634244,0.08970152228135923,0.0930028359537544,0.0
model.dec.16x16_block2.affine,0.0072388284709187945,0.006981268662210349,0.9963093753667884,0.9608603723734449,1.033066197736758,0.08278085864709733,0.08589580941734071,0.0,131285,131328,0.9996725755360624,1.0,0.9608603723734449,0.08277532876304028,0.442865329512894,0.9656160458452722,1.46875,131285,0.9608620082338807,0.08278793045933774,0.9655810409886036,0.0009158187695988738,0.0009158187575762234,2.350451645846084e-09,0.007238816975778363,0.006981267894689891,0.960861857414862,1.033064740538166,0.0827802283159022,0.08589494864409983,0.0
model.dec.16x16_block2.conv0,0.02169975812215014,0.020900403631521527,0.9955250917766855,0.9588529110009532,1.0335998326608749,0.09101656545642733,0.09457172199472451,0.0,1178991,1179904,0.9992262082338902,0.9999999999999999,0.9588529110009533,0.09098318940467584,0.4,0.9615384615384616,1.513012082416583,1178991,0.9588528918088575,0.09100440106354243,0.9615277046332557,0.0017619427471041633,0.001761942743575058,1.4014217596885115e-07,0.021699748858744188,0.020900381811696202,0.9588529375378324,1.0336011369387388,0.09100999587785599,0.0945649848460954,0.0
model.dec.16x16_block2.conv1,0.014854019720639787,0.014318408892216724,0.9954584022808429,0.9595638559200698,1.0326956612193112,0.09176486610378629,0.09524095066137701,0.0,589523,590080,0.9990560601952277,1.0000000000000002,0.9595638559200697,0.09172658511796496,0.4,0.9614125350795135,1.5217391304347827,589523,0.9595632728045721,0.09176476451767289,0.9613784515884229,0.00223228513017803,0.002232285123759357,7.593469421876229e-08,0.014854000933396267,0.014318371482510613,0.9595634979725537,1.0326980599570612,0.09175496002038508,0.09523085409672206,0.0
model.dec.16x16_block2.norm0,0.0006678055208223945,0.0006388815744196756,0.9965637193804604,0.9534006206825678,1.0416809316469704,0.07924215120014734,0.08361733219112147,0.0,1022,1024,0.998046875,1.0,0.9534006206825678,0.07908355419754884,0.47487012987012994,0.9560287315299315,1.4497222222222217,1022,0.9533407137492094,0.0790604488129578,0.9561649756507087,0.0017715489689688329,0.0017715489698100825,5.486554837130905e-10,0.000667815449686309,0.0006388508634195109,0.9533401443250404,1.0417459798756388,0.07924284590434849,0.08363155765615898,0.0
model.dec.16x16_block2.norm1,0.00042402202544905446,0.0004078643244860006,0.9961580640341725,0.9581986582850184,1.035621246137395,0.08423640583239053,0.08775770771584156,0.0,511,512,0.998046875,1.0,0.9581986582850184,0.08400902940486227,0.3252032520325203,0.9625,1.4616477272727273,511,0.9580157378326374,0.08424699455845769,0.9626981853831393,0.005009489920548667,0.005009489923371662,3.369914392349439e-10,0.00042408962178292067,0.0004078435751811719,0.9579944896503911,1.0358361175595903,0.08424941389346075,0.08780307385787794,0.0
model.dec.16x16_block2.skip,0.0066562810956633574,0.006429178932364137,0.995770937204162,0.9617967509071181,1.0309452162790795,0.08873629115777028,0.09187849812162291,0.0,131299,131328,0.9997791788499025,0.9999999999999999,0.9617967509071184,0.08872722217605379,0.41217986314760513,0.9625525410775697,1.5120411052633842,131299,0.9617978171588634,0.08873359067556695,0.9625727780073369,0.0007741996975600448,0.000774199697469972,3.4936887935644366e-09,0.006656277031823124,0.006429181106065956,0.9617976753881108,1.0309442512613585,0.08873624424550106,0.09187834065619073,0.0
model.dec.16x16_block3.affine,0.0075125200514298066,0.0072840662485438665,0.9969744360059788,0.9666566997834602,1.028243042511468,0.07536638197898374,0.07774319112999573,0.0,131263,131328,0.999505056042885,1.0,0.9666566997834602,0.07534746191218304,0.44918285538082026,0.9669771380186283,1.426964698382341,131263,0.9666553528505105,0.0753529039456444,0.9669222876312631,0.0008892481908147213,0.0008892481772058542,7.884976576835995e-09,0.007512531977273899,0.007284067756244063,0.9666554475296334,1.0282445494040553,0.07536522374181212,0.07774209102246857,0.0
model.dec.16x16_block3.conv0,0.020834089557071646,0.020111138953781953,0.9956983588253779,0.9611472579848311,1.0314914947020506,0.08943894759415089,0.09266999198096476,0.0,1178964,1179904,0.9992033250162725,0.9999999999999998,0.9611472579848312,0.08940525415278969,0.408,0.9632248939179632,1.5076923076923077,1178964,0.9611481675516448,0.08943308062258992,0.9632253647519811,0.001839121447232166,0.0018391214444342348,1.2815117609003597e-07,0.020834061654021588,0.020111118393733227,0.961148022252167,1.031491660986539,0.08943403669401596,0.09266486517019741,0.0
