batch_index,gap,loss_mean,grad_l2,grad_l2_sq,grad_linf,dot_to_g1,t_mean,t_min,t_max,gap_mean,scalar_fit_to_g1,direction_residual_to_g1
17,0.9,15.323710441589355,503.29273984326613,253303.58197894154,52.4375,227323.7739753975,1.99772047996521,0.0030306943226605654,39.91569137573242,0.025376707315444946,1.109149819671605,0.014310187855951147
17,1.2,15.221762657165527,366.1630673703946,134075.3919060961,38.90625,165372.2503574413,1.99772047996521,0.0030306943226605654,39.91569137573242,0.033835604786872864,0.8252568972250803,0.026161126271901293
17,1.3,15.203020095825195,337.3010792119229,113772.0180375279,35.96875,152325.73148497444,1.99772047996521,0.0030306943226605654,39.91569137573242,0.036655243486166,0.7553912042256966,0.025342158911035674
18,1.0,17.25959014892578,468.5740554355546,219561.6454273222,47.5625,219561.6454273222,2.060225009918213,0.0014699292369186878,40.248477935791016,0.02957933582365513,1.0,0.0
18,0.9,17.29319953918457,518.3576465961355,268694.64978468406,52.875,242873.63603589503,2.060225009918213,0.0014699292369186878,40.248477935791016,0.02662140130996704,1.109149819671605,0.011544735588140252
18,1.2,17.20948028564453,388.03745136902563,150573.06366496894,39.71875,181797.63886841625,2.060225009918213,0.0014699292369186878,40.248477935791016,0.035495202988386154,0.8252568972250803,0.0174367374614057
18,1.3,17.18222427368164,356.190809347201,126871.89266341412,36.78125,166864.8048630464,2.060225009918213,0.0014699292369186878,40.248477935791016,0.03845313936471939,0.7553912042256966,0.021898469345874624
19,1.0,14.242572784423828,425.9919202731111,181469.11613797263,37.40625,181469.11613797263,3.2615203857421875,0.0014541271375492215,138.44932556152344,0.027168646454811096,1.0,0.0
19,0.9,14.276825904846191,480.2816943859589,230670.5059622476,41.15625,204576.4097350676,3.2615203857421875,0.0014541271375492215,138.44932556152344,0.02445177733898163,1.109149819671605,0.02127978172498207
19,1.2,14.209423065185547,349.4152740629067,122091.03374845619,31.421875,148820.16672198303,3.2615203857421875,0.0014541271375492215,138.44932556152344,0.032602373510599136,0.8252568972250803,0.020367177015997356
19,1.3,14.209014892578125,320.2508004888685,102560.57521376104,29.078125,136385.5209484907,3.2615203857421875,0.0014541271375492215,138.44932556152344,0.03531923145055771,0.7553912042256966,0.02436536460662345
20,1.0,15.334393501281738,565.4668861792715,319752.7993652812,50.625,319752.7993652812,3.7366597652435303,0.005856433417648077,196.0454559326172,0.028838761150836945,1.0,0.0
20,0.9,15.377742767333984,632.961939651123,400640.81704691186,56.4375,357896.0346919301,3.7366597652435303,0.005856433417648077,196.0454559326172,0.02595488354563713,1.109149819671605,0.014507857203951782
20,1.2,15.282435417175293,473.6614814874643,224355.19904489946,42.5,267821.76762915275,3.7366597652435303,0.005856433417648077,196.0454559326172,0.03460651636123657,0.8252568972250803,0.018762994656218435
20,1.3,15.273008346557617,431.7367786419291,186396.6460321101,39.1875,244107.2315700983,3.7366597652435303,0.005856433417648077,196.0454559326172,0.03749039024114609,0.7553912042256966,0.017905049516993506
21,1.0,16.240917205810547,563.8836165513612,317964.7330150426,52.125,317964.7330150426,1.5809500217437744,0.0021145108621567488,54.8146858215332,0.03011275827884674,1.0,0.0
21,0.9,16.27090835571289,623.2035017795926,388382.6046303466,57.125,351396.807956385,1.5809500217437744,0.0021145108621567488,54.8146858215332,0.027101483196020126,1.109149819671605,0.010600514701951835
21,1.2,16.197296142578125,460.4213010250736,211987.77443762147,43.21875,259582.51042979117,1.5809500217437744,0.0021145108621567488,54.8146858215332,0.03613530844449997,0.8252568972250803,0.020923484294183246
21,1.3,16.192996978759766,422.11717293184813,178182.9076839758,39.84375,237965.6590993767,1.5809500217437744,0.0021145108621567488,54.8146858215332,0.03914658725261688,0.7553912042256966,0.024194001350100684
22,1.0,15.472396850585938,435.97910108129633,190077.77657965518,40.59375,190077.77657965518,1.772966980934143,0.0035403829533606768,59.01939010620117,0.027968481183052063,1.0,0.0
