layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual,gradient_variance_trace,normalized_noise_scale
model.dec.16x16_block3.norm0,1.0,1.3903390422256603,1.0,1.0,0.0,1.1535317679959425,0.596744084566045
model.dec.16x16_block3.norm0,1.2,1.1364998856814754,0.817112995254652,0.999616553882255,0.027690164401186202,0.7903526871980044,0.6119023787137444
model.dec.16x16_block3.norm0,1.3,1.039030238687264,0.7467993085192487,0.9993012683184814,0.03737613057921067,0.670794259104023,0.6213452222720807
model.dec.16x16_block3.norm1,0.9,1.1774321868500544,1.1179851675546815,0.9998222743124786,0.018852580423456108,0.5249639910039772,0.37866721654160584
model.dec.16x16_block3.norm1,1.0,1.0529861764445616,1.0,1.0,0.0,0.4257991894865447,0.38402499375940036
model.dec.16x16_block3.norm1,1.2,0.8594073833152183,0.8157038143220169,0.9994385168542866,0.033505984959462616,0.2923636931626368,0.39584510456369865
model.dec.16x16_block3.norm1,1.3,0.7850221248922185,0.7447576714979274,0.9989776186193843,0.04520749382064774,0.2482859004728991,0.4028916473672271
model.dec.16x16_block3.skip,0.9,3.983559471621622,1.1208659568519908,0.9996277949330329,0.027281341560163052,34.7972895050483,2.1928191027082766
model.dec.16x16_block3.skip,1.0,3.552678842870369,1.0,1.0,0.0,28.110516785858998,2.2271882691894223
model.dec.16x16_block3.skip,1.2,2.892685475084934,0.8134251951128338,0.9990157954695079,0.04435583842546846,19.37412623722834,2.315366233421979
model.dec.16x16_block3.skip,1.3,2.6440069037691374,0.7429091149159208,0.9982264006099573,0.05953195045762635,16.437999284379714,2.351385239256384
model.dec.16x16_block4.affine,0.9,1.1968253621200613,1.1164749857512972,0.9996859094042683,0.025061574941754993,0.3165002894797255,0.22095943153729591
model.dec.16x16_block4.affine,1.0,1.0716312195064295,1.0,1.0,0.0,0.2541985680639782,0.22135145711561297
model.dec.16x16_block4.affine,1.2,0.8766072745133606,0.8173443980160094,0.9991837844248862,0.040395110376907045,0.17935087520009885,0.23339597363078468
model.dec.16x16_block4.affine,1.3,0.8008399606908564,0.7463393797825194,0.998702136481868,0.05093174438945009,0.15156496145046783,0.236323735124271
model.dec.16x16_block4.conv0,0.9,0.6524787675401565,1.124535359949386,0.9996617031952865,0.02600921307342835,0.4723341916461571,1.109472691980102
model.dec.16x16_block4.conv0,1.0,0.5800244788099075,1.0,1.0,0.0,0.38081115810874067,1.1319233531273272
model.dec.16x16_block4.conv0,1.2,0.47016455458602124,0.8098722073409805,0.9991091424983993,0.042200964160942614,0.26265292864953405,1.1881806570129532
model.dec.16x16_block4.conv0,1.3,0.42897902173854485,0.7384610678258964,0.9984765554530546,0.05517760606082395,0.22240606922912368,1.2085775577490223
model.dec.16x16_block4.conv1,0.9,0.4225679728193566,1.1222786492367314,0.9996516652771387,0.026392197874440894,0.12417372175176891,0.6954029713571886
model.dec.16x16_block4.conv1,1.0,0.3763956286693554,1.0,1.0,0.0,0.10047181235077915,0.7091777382515382
model.dec.16x16_block4.conv1,1.2,0.3061142130143234,0.8125109827190766,0.9990571137805767,0.0434152439175898,0.06952406149643185,0.7419389070631623
model.dec.16x16_block4.conv1,1.3,0.27970373357307954,0.7418490399486911,0.9983017823975163,0.05825419523040498,0.05902390992431816,0.7544517115105304
model.dec.16x16_block4.norm0,0.9,3.3561350265152172,1.1246535860223825,0.9997132723385438,0.023945210589188637,2.2435351261099434,0.19918380423734766
model.dec.16x16_block4.norm0,1.0,2.983294386348722,1.0,1.0,0.0,1.81567040758617,0.2040068704008815
model.dec.16x16_block4.norm0,1.2,2.41228471069829,0.808059384593531,0.9993343717692671,0.03648031524705445,1.2604775523141365,0.21660974310921902
model.dec.16x16_block4.norm0,1.3,2.1990726615755802,0.7363338978653797,0.9989214191795643,0.04643272880507165,1.0681786923617214,0.22088425082741417
model.dec.16x16_block4.norm1,0.9,1.9769932722007963,1.126063668443522,0.9997692065016631,0.021483336124420858,0.6038866552633837,0.15450589349051935
model.dec.16x16_block4.norm1,1.0,1.7552622026597695,1.0,1.0,0.0,0.48752132660450487,0.15823757428187216
model.dec.16x16_block4.norm1,1.2,1.4194896928243412,0.8082427347633973,0.9994281255271608,0.033814522106126545,0.3400854112926761,0.1687809844071731
model.dec.16x16_block4.norm1,1.3,1.29512277435201,0.7371541197801865,0.9990549078503168,0.04346597635156912,0.2879884201228051,0.17169321958121897
model.dec.16x16_block4.norm2,0.9,29.926146226120206,1.1172157090220634,0.9998915262515241,0.014728738248662313,84.48142228709366,0.09433212753424736
model.dec.16x16_block4.norm2,1.0,26.783458004769862,1.0,1.0,0.0,68.57991657808395,0.09560126889804202
model.dec.16x16_block4.norm2,1.2,21.988164861284325,0.8205988866744495,0.9995593519814214,0.02968336009418275,48.033972970618606,0.09935061053273206
model.dec.16x16_block4.norm2,1.3,20.180865365314713,0.7527780959017206,0.9990652112048287,0.043228506338424434,40.96029829825284,0.1005734945907368
model.dec.16x16_block4.proj,0.9,0.9420371005643166,1.1171117579961598,0.9997498605946972,0.022365514545477184,0.2763260606309291,0.3113764991310822
model.dec.16x16_block4.proj,1.0,0.8430682545617301,1.0,1.0,0.0,0.2240345961078255,0.3152024727034263
model.dec.16x16_block4.proj,1.2,0.6926879382679908,0.8209831078074998,0.999215891436748,0.039592957710491504,0.15584739336649722,0.3248061861979129
model.dec.16x16_block4.proj,1.3,0.6361099861678643,0.7533770221831388,0.9984880994326069,0.05496831170283939,0.1327092785920716,0.3279720702875426
