layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block1.norm1,0.0003442922622771834,0.00032359126183829993,0.9950804768178885,0.9352500256451363,1.0587384423337338,0.09311319701668397,0.10163225348663721,0.0,510,512,0.99609375,1.0,0.9352500256451363,0.09306619062258856,0.37083333333333357,0.9375,1.5,510,0.9349737685700138,0.0930299661498338,0.937266670366065,0.00477317495885973,0.004773174960497603,8.178895003407217e-11,0.0003443131634684116,0.0003235131825071149,0.9349590228349205,1.0590485411451747,0.09317118396676762,0.10178520485016572,0.0
model.dec.16x16_block1.skip,0.005509310940147912,0.005208696341672774,0.9940050241719272,0.9397673119661806,1.0513730106358394,0.1033685912570225,0.11047704129075035,0.0,131296,131328,0.9997563352826511,0.9999999999999999,0.9397673119661808,0.10335603128468349,0.27919545916565336,0.9394082093293821,1.5995183618714015,131296,0.9397690871867032,0.1033758383461708,0.9394833004441417,0.0011492384350221367,0.0011492384341265634,6.213367370767685e-09,0.005509310732272512,0.005208705645804542,0.9397689476169739,1.0513710051286433,0.10336949334150497,0.11047739949159167,0.0
model.dec.16x16_block2.affine,0.005970810575792077,0.005620545291248996,0.995067689462386,0.9366940963019743,1.0570790512304034,0.09337899208677508,0.10142804970352538,0.0,131266,131328,0.9995278996101364,1.0,0.9366940963019743,0.09335889233097056,0.2718073188946975,0.9325044902925954,1.4110526888348986,131266,0.9366950711974242,0.09336080692015969,0.9325285567836529,0.0009229572654124564,0.0009229571768450834,1.0549730747429175e-08,0.005970802717720649,0.0056205441130495895,0.9366950297043765,1.0570777653670995,0.093380128716436,0.10142870078493514,0.0
model.dec.16x16_block2.conv0,0.016977219014693852,0.01604903866428368,0.9938149488973081,0.9394809907436205,1.0512912580274747,0.10497757640154327,0.11216288041428966,0.0,1178710,1179904,0.9989880532653505,1.0,0.9394809907436205,0.10492661027094957,0.3,0.9416909620991254,1.578125,1178710,0.9394832999096135,0.1049701883249473,0.9416478911472386,0.0023539140352890897,0.0023539140218179714,2.431013886682264e-07,0.016977203905369696,0.01604905115451004,0.9394835093124989,1.0512905687427778,0.10496923769103819,0.11215375727021538,0.0
model.dec.16x16_block2.conv1,0.01171769307546459,0.011087898137059635,0.9939172299118374,0.9404968137462493,1.0503719369134972,0.10421047445622061,0.11113498881727361,0.0,589263,590080,0.9986154419739697,1.0000000000000002,0.940496813746249,0.104143523058673,0.2962962962962963,0.9416949152542373,1.5731707317073171,589263,0.9404997718263953,0.10418679202199176,0.941666189343226,0.0027795281413593707,0.002779528127812949,1.5100707455858522e-07,0.011717676908066766,0.011087905490832583,0.9405006699876984,1.0503719519049295,0.10419322404454281,0.11111659337699643,0.0
model.dec.16x16_block2.norm0,0.0004628741110615283,0.00043321815451169687,0.9939077542309199,0.9302289170057925,1.0619457274022794,0.1031537440369478,0.11314560015787017,0.0,1021,1024,0.9970703125,1.0,0.9302289170057925,0.10307977277875406,0.08333333333333333,0.9331103678929766,1.5319148936170213,1021,0.9303370058435622,0.10306959979202804,0.9306194611901928,0.0031994745060529273,0.0031994745047334355,2.576912124361178e-10,0.0004628502882600214,0.00043324726787437215,0.9303485756928123,1.0618302872614351,0.10308241854351156,0.11303472984594944,0.0
model.dec.16x16_block2.norm1,0.0003255083536183718,0.0003054162153251893,0.9951589834925177,0.9337323820005119,1.0606266008511613,0.09221190377967402,0.1012643705059692,0.0,511,512,0.998046875,1.0,0.9337323820005119,0.09221190377967403,0.17318757192174913,0.9221226740179187,1.3660287081339713,511,0.9337659465533846,0.0924040043785126,0.9226450829262581,0.005596202044977423,0.005596202043727862,0.0,0.0003254923140049461,0.00030541494654775565,0.9337743326525805,1.0605785363036402,0.09221791435434988,0.10125548541565751,0.0
model.dec.16x16_block2.skip,0.0050204228939271745,0.004745456055972807,0.9942445654784952,0.9397901320375136,1.0518542622280511,0.10126652844691898,0.10836707158151264,0.0,131293,131328,0.9997334917153996,1.0,0.9397901320375136,0.10125409861389927,0.2994350282485876,0.9390495867768595,1.5655656382335141,131293,0.9397891264299792,0.1012659939905834,0.9390065206775657,0.0009860966060078564,0.0009860966057412424,5.002265446686696e-09,0.005020428228918832,0.00474545613214302,0.9397890182895102,1.051855217426325,0.10126763037129323,0.10836834144779951,0.0
model.dec.16x16_block3.affine,0.005746227702009086,0.005427196076533552,0.9954610443294498,0.9401928629173283,1.0539781037080829,0.0898860463457759,0.09691196623808633,0.0,131265,131328,0.9995202850877193,1.0,0.9401928629173283,0.08986811114380769,0.39254867224642537,0.9439655172413793,1.4429504417979235,131265,0.940194807884673,0.08987443928207606,0.943956191883485,0.0010110039957833357,0.0010110040253398513,8.39271454199684e-09,0.00574621917070538,0.005427198244430365,0.9401947265880303,1.0539762212610564,0.08988525106246696,0.09691047527540922,0.0
model.dec.16x16_block3.conv0,0.016352620504374308,0.015484731164705222,0.9941140191222654,0.9413529977690814,1.0498321940414634,0.10258898392055296,0.10929356957589831,0.0,1178667,1179904,0.9989516096224778,1.0,0.9413529977690815,0.10253965064465649,0.3176470588235294,0.944558521560575,1.5636363636363637,1178667,0.9413524678517446,0.1025730172485529,0.9445760067126167,0.002326013804267381,0.0023260137986472725,2.133499443739075e-07,0.016352625466776915,0.015484710251009342,0.9413522311494307,1.049834812061177,0.10258156094596416,0.10928618916592966,0.0
