arm,batch_id,direction_id,regime,status,finest_relative_change,finest_cosine,finest_norm_ratio,selected_jvp_l2,finite,source_preserved,amp_branch_pairing,amp_sweep_pairing,discrete_state_pairing,receipt
B,2026082601,2026082614,D_production_algorithmic,FAIL_CLOSED,1.1531916033438214,0.6255411118426176,1.4747481281984585,6388.133230012634,True,True,True,True,True,formal/shard0/armB_batch2026082601_dir2026082614_D_production_algorithmic.json
B,2026082601,2026082614,E_full_field_pseudohuber_fp32,PASS,0.0064133315843463755,0.9999798049943766,0.9991188644597114,9925.603097229397,True,True,,,,formal/shard1/armB_batch2026082601_dir2026082614_E_full_field_pseudohuber_fp32.json
B,2026082602,2026082611,A_squared_gn_fp32,PASS,0.02999553613770892,0.9995537825526444,0.9968158264739346,6.827264339764093,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082611_A_squared_gn_fp32.json
B,2026082602,2026082611,B_real_loss_gn_fp32,PASS,0.030292495591706964,0.9995535126556601,0.9945675371801775,77.01177300004842,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082611_B_real_loss_gn_fp32.json
B,2026082602,2026082611,C_full_field_fp32,PASS,0.004494114568642625,0.9999899047577927,1.000071655927909,17709.184195458754,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082611_C_full_field_fp32.json
B,2026082602,2026082611,D_production_algorithmic,FAIL_CLOSED,1.107371687513439,0.6154527097805927,1.393304940144843,6349.793548188196,True,True,True,True,True,formal/shard1/armB_batch2026082602_dir2026082611_D_production_algorithmic.json
B,2026082602,2026082611,E_full_field_pseudohuber_fp32,PASS,0.006347159519983183,0.999979880137373,1.000196936641515,10640.949559455437,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082611_E_full_field_pseudohuber_fp32.json
B,2026082602,2026082612,A_squared_gn_fp32,PASS,0.003776051157848222,0.9999931899991936,0.9991940610291558,27.069407818311333,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082612_A_squared_gn_fp32.json
B,2026082602,2026082612,B_real_loss_gn_fp32,PASS,0.007513583257523057,0.999972235136446,0.9990104778151371,153.0998553774784,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082612_B_real_loss_gn_fp32.json
B,2026082602,2026082612,C_full_field_fp32,PASS,0.002885423275982509,0.9999964111760797,0.9989249483813162,24247.043784197,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082612_C_full_field_fp32.json
B,2026082602,2026082612,D_production_algorithmic,FAIL_CLOSED,0.5160744461922743,0.8635636367460391,0.9734498903117539,4818.321015469778,True,True,True,True,True,formal/shard0/armB_batch2026082602_dir2026082612_D_production_algorithmic.json
B,2026082602,2026082612,E_full_field_pseudohuber_fp32,PASS,0.00354718047051444,0.9999951868891016,0.9982758001788294,18038.892854065412,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082612_E_full_field_pseudohuber_fp32.json
B,2026082602,2026082613,A_squared_gn_fp32,PASS,0.030367314457647735,0.9995798812734457,0.9905182680614654,10.475584116605594,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082613_A_squared_gn_fp32.json
B,2026082602,2026082613,B_real_loss_gn_fp32,PASS,0.03598447876393689,0.9993663801691416,1.0046620882697135,91.11853784685587,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082613_B_real_loss_gn_fp32.json
B,2026082602,2026082613,C_full_field_fp32,PASS,0.007148903990805666,0.9999745502814118,1.0004306629657267,16482.333884039115,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082613_C_full_field_fp32.json
B,2026082602,2026082613,D_production_algorithmic,FAIL_CLOSED,0.793627761120461,0.7226337421428506,1.1125626440011944,5172.78800745529,True,True,True,True,True,formal/shard1/armB_batch2026082602_dir2026082613_D_production_algorithmic.json
B,2026082602,2026082613,E_full_field_pseudohuber_fp32,PASS,0.010701620687724065,0.9999427364988879,0.9999737562909704,10021.47602615763,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082613_E_full_field_pseudohuber_fp32.json
B,2026082602,2026082614,A_squared_gn_fp32,PASS,0.008890041389287904,0.9999655377037441,1.0031450708519543,24.291246794419276,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082614_A_squared_gn_fp32.json
B,2026082602,2026082614,B_real_loss_gn_fp32,PASS,0.02161669345984593,0.9997889105974395,1.0065080764497087,107.34967637585126,True,True,,,,formal/shard0/armB_batch2026082602_dir2026082614_B_real_loss_gn_fp32.json
B,2026082602,2026082614,C_full_field_fp32,PASS,0.008056166967400365,0.9999678601352803,0.9991784744633186,15434.812110965337,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082614_C_full_field_fp32.json
B,2026082602,2026082614,D_production_algorithmic,FAIL_CLOSED,1.1068134887891723,0.556749789260707,1.2881911244390643,5815.551881872502,True,True,True,True,True,formal/shard0/armB_batch2026082602_dir2026082614_D_production_algorithmic.json
B,2026082602,2026082614,E_full_field_pseudohuber_fp32,PASS,0.011158913002449047,0.9999399086562962,0.9978560989348976,10602.18756795135,True,True,,,,formal/shard1/armB_batch2026082602_dir2026082614_E_full_field_pseudohuber_fp32.json
C,2026082601,2026082611,A_squared_gn_fp32,PASS,0.02213228249875256,0.9999032598054971,1.0171185698016332,15.623200358624365,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082611_A_squared_gn_fp32.json
C,2026082601,2026082611,B_real_loss_gn_fp32,PASS,0.019206005893138353,0.9998193891144137,0.9970478351300325,88.4409659673558,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082611_B_real_loss_gn_fp32.json
C,2026082601,2026082611,C_full_field_fp32,PASS,0.004136734917509695,0.9999914508984229,0.9998712605878213,19782.729867186055,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082611_C_full_field_fp32.json
C,2026082601,2026082611,D_production_algorithmic,FAIL_CLOSED,0.6851229717761723,0.7942876461143219,1.1109678495139705,5208.837388890057,True,True,True,True,True,formal/shard1/armC_batch2026082601_dir2026082611_D_production_algorithmic.json
C,2026082601,2026082611,E_full_field_pseudohuber_fp32,PASS,0.005437176989109428,0.9999852184471274,0.9999826963457207,12544.27072720301,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082611_E_full_field_pseudohuber_fp32.json
C,2026082601,2026082612,A_squared_gn_fp32,PASS,0.02228158566412457,0.9998724945225993,1.015411939897234,29.58708414424506,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082612_A_squared_gn_fp32.json
C,2026082601,2026082612,B_real_loss_gn_fp32,PASS,0.02305322874438853,0.9998242224197504,1.013237912918646,175.68473900490315,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082612_B_real_loss_gn_fp32.json
C,2026082601,2026082612,C_full_field_fp32,PASS,0.005172863869547126,0.9999902959356706,1.0027014739310112,26496.889459535036,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082612_C_full_field_fp32.json
C,2026082601,2026082612,D_production_algorithmic,FAIL_CLOSED,1.2061157592362708,0.4665615269692797,1.2865584069182203,6435.966446545311,True,True,True,True,True,formal/shard0/armC_batch2026082601_dir2026082612_D_production_algorithmic.json
C,2026082601,2026082612,E_full_field_pseudohuber_fp32,PASS,0.00584925195327322,0.999988850902404,1.0034407601603705,19386.97978015133,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082612_E_full_field_pseudohuber_fp32.json
C,2026082601,2026082613,A_squared_gn_fp32,PASS,0.012625923217622022,0.9999331697827849,1.0050084007082363,25.81495649599567,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082613_A_squared_gn_fp32.json
C,2026082601,2026082613,B_real_loss_gn_fp32,PASS,0.032301828136062014,0.999659375199188,1.0186928857677933,119.00619278562345,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082613_B_real_loss_gn_fp32.json
C,2026082601,2026082613,C_full_field_fp32,PASS,0.006751548808618097,0.9999782820583971,1.001443887660494,18102.100201335634,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082613_C_full_field_fp32.json
C,2026082601,2026082613,D_production_algorithmic,FAIL_CLOSED,0.7540899685012096,0.7677535394347186,1.1653678977125477,5479.184619431896,True,True,True,True,True,formal/shard1/armC_batch2026082601_dir2026082613_D_production_algorithmic.json
C,2026082601,2026082613,E_full_field_pseudohuber_fp32,PASS,0.007931135245577491,0.9999696654356515,1.0014645559899202,11838.26607383837,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082613_E_full_field_pseudohuber_fp32.json
C,2026082601,2026082614,A_squared_gn_fp32,PASS,0.016844804802976482,0.9998644878590865,0.9962949597998311,16.922514562234046,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082614_A_squared_gn_fp32.json
C,2026082601,2026082614,B_real_loss_gn_fp32,PASS,0.01767290065835905,0.9998469798509748,0.9973341060387839,92.41026254137198,True,True,,,,formal/shard0/armC_batch2026082601_dir2026082614_B_real_loss_gn_fp32.json
C,2026082601,2026082614,C_full_field_fp32,PASS,0.005020656606775613,0.9999874346909127,0.9997107896552441,15935.500805251408,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082614_C_full_field_fp32.json
C,2026082601,2026082614,D_production_algorithmic,FAIL_CLOSED,1.24748588583257,0.5897434848603864,1.540542313891398,6788.1096185961815,True,True,True,True,True,formal/shard0/armC_batch2026082601_dir2026082614_D_production_algorithmic.json
