seed,trajectory,kimg,role,opaque_id,status,root_cause,fid50k_full,kid50k_full
91,BA128,640,primary,429d8f749864a63a195657e9,PASS,,20.820411255061863,0.015175429172813892
91,BA128,1024,secondary,34c5c654a6155d9967af6ba4,PASS,,11.135447545402178,0.007176642771810293
91,BA256,768,primary,9f2b91d0dee9c129678124a3,PASS,,15.928754588902127,0.011102931573987007
91,BA256,1024,secondary,030e7b6d752526fc27c031e3,PASS,,10.687518523802623,0.0070063406601548195
91,BA384,896,primary,33e5647c85674bcfb6428ce3,PASS,,12.331667515508595,0.00808069109916687
91,BA384,1024,secondary,c70ea2b9f91c832538be5938,PASS,,10.42810677604067,0.0066171749494969845
91,BA512,1024,primary,d857ec923d04366c5705d70f,PASS,,10.383800049601245,0.006684921681880951
91,CTRL,640,primary,2ffa5ea08fcc7a9c5fbca229,PASS,,18.518401998179172,0.012716338038444519
91,CTRL,768,primary,28400a9684ac197439ff74ce,PASS,,15.31769083559623,0.010253352113068104
91,CTRL,896,primary,243fdb8d4493f44fec81474c,PASS,,13.541913713168313,0.00887071993201971
91,CTRL,1024,primary,1ed680e7454b76d60a8566fb,PASS,,11.314111179034851,0.007111657410860062
92,BA128,640,primary,1775de3bc087fd9dc53bc449,PASS,,20.513434765274663,0.0144630316644907
92,BA128,1024,secondary,a1dbb263516441a38dae5674,PASS,,10.565159611526184,0.0067788646556437016
92,BA256,768,primary,c28ff8784b57cc8b28e58286,PASS,,15.829945621770813,0.01083479542285204
92,BA256,1024,secondary,f41c1da1716a88e8ee9cb405,PASS,,10.668888621220491,0.0067846388556063175
92,BA384,896,primary,fb07d7987726bf866995946b,PASS,,12.835502708832902,0.008482595905661583
92,BA384,1024,secondary,8c9daf93ffa400e73ab018ce,PASS,,11.069528193474493,0.007094706874340773
92,BA512,1024,primary,fade728ff13fe9a978176769,PASS,,10.68495324785182,0.0067826975136995316
92,CTRL,640,primary,d0b6dc077a990bd3fbad62f6,PASS,,11.40126277322876,0.007170556578785181
92,CTRL,768,primary,edaabebe11a1ee8e28622b5e,PASS,,9.151910272178947,0.0055599515326321125
92,CTRL,896,primary,d099b2dff92e251f1f6ac5c2,PASS,,8.309264053122591,0.005090722348541021
92,CTRL,1024,primary,57b0132a3db8b519f68ecbb2,PASS,,7.680419643997818,0.004591186530888081
