job_index,phase,seed,arm,budget_kimg,nfe,mid_t,checkpoint_path,checkpoint_sha256,metrics,sample_count,sample_seed_start,sample_seed_end,metric_seed,evaluation_precision,evaluation_batch,metric_generator_batch,kid_subset_size,kid_num_subsets,kid_display_scale,dataset_sha256,detector_sha256,fid_reference_sha256,kid_reference_sha256,evaluator_commit,status
54,primary_nfe1,3,D,1024,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armD/network-snapshot-kimg001024.pkl,5242196e525a673795d6c2b3bf1ea7dae2a6910cc5c133ce86e18a3b3c74817b,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
55,secondary_nfe2,3,D,1024,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed3/armD/network-snapshot-kimg001024.pkl,5242196e525a673795d6c2b3bf1ea7dae2a6910cc5c133ce86e18a3b3c74817b,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
56,primary_nfe1,4,A,256,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000256.pkl,73d2dc39331ed00d2b4c7723c0bd3aa0fd849a88c7720714060aaabfb70bc6b8,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
57,secondary_nfe2,4,A,256,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000256.pkl,73d2dc39331ed00d2b4c7723c0bd3aa0fd849a88c7720714060aaabfb70bc6b8,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
58,primary_nfe1,4,A,384,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000384.pkl,bd37b0a48ffff3f157c3cb45d84d5544278fc92891f07a36bae7fb755c697d0e,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
59,secondary_nfe2,4,A,384,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000384.pkl,bd37b0a48ffff3f157c3cb45d84d5544278fc92891f07a36bae7fb755c697d0e,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
60,primary_nfe1,4,A,512,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000512.pkl,ef24432b4a85c5e6803b140f53219080905cf428ce0cb6c326cc67483673b7fa,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
61,secondary_nfe2,4,A,512,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000512.pkl,ef24432b4a85c5e6803b140f53219080905cf428ce0cb6c326cc67483673b7fa,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
62,primary_nfe1,4,A,640,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000640.pkl,b3bee865d00ebdcb73a9125012522cf7add1a4d73f14dce300b00c46c444e450,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
63,secondary_nfe2,4,A,640,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000640.pkl,b3bee865d00ebdcb73a9125012522cf7add1a4d73f14dce300b00c46c444e450,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
64,primary_nfe1,4,A,768,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000768.pkl,017a7002212125267856522b48a8a40578a93e29ce825616a94f64e5733477b4,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
65,secondary_nfe2,4,A,768,2,[0.821],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000768.pkl,017a7002212125267856522b48a8a40578a93e29ce825616a94f64e5733477b4,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
66,primary_nfe1,4,A,896,1,[],/data/raw/ECT/ect_runs/q256-target-weight-replay-curve-v1-20260822/runs/q256-target-weight-replay-curve-v1/seed4/armA/network-snapshot-kimg000896.pkl,b191154145c6f3880a7a01745dc8a8cfaed38e5b32abae4d0e1faa0d5db67fd0,"kid50k_full,fid50k_full",50000,0,49999,20260730,fp32,512,128,1000,100,1.0,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,f58cb9b6ec323ed63459aa4fb441fe750cfe39fafad6da5cb504a16f19e958f4,7c40fa0d3ddd7f13c249dd6ef01a95fa2c5d49177a6556ef04a237e8202863de,8478c50d243e9876a4e82d71feb0a8420036bdc16f7962fba1511d24e4a7cfde,c8721a05227f3ff171f8dc1f559a64d58281c0ae,FROZEN_NOT_RUN
