seed,nfe,metric,budget_kimg,S_A,S_B,H_A,H_B,I_switch
4,2,kid50k_full,768,-5.738340840846833e-05,6.780835085084614e-05,-8.44250125125155e-05,4.076674674679897e-05,0.00012519175925931447
4,2,kid50k_full,896,2.4838288288401515e-06,3.072270020020376e-05,1.577220720723287e-05,4.401107857859648e-05,2.823887137136361e-05
4,2,kid50k_full,1024,-6.134361861854804e-06,8.607719219219689e-05,-4.8010683183165336e-05,4.4200870870886354e-05,9.221155405405169e-05
4,2,fid50k_full,512,0.0,0.0,-0.720354273086115,-0.720354273086115,0.0
4,2,fid50k_full,640,-0.0459008877763063,0.05317682969408999,-0.1541077472877257,-0.05503002981732941,0.09907771747039629
4,2,fid50k_full,768,-0.02188606174027319,0.0632142620099101,-0.016431442201015667,0.06866888154916762,0.08510032375018328
4,2,fid50k_full,896,0.04857948231386944,0.05595379083546703,0.01627826511861974,0.023652573640217334,0.0073743085215975945
4,2,fid50k_full,1024,0.03631092151432824,0.07965905439318455,-0.05686453552922632,-0.013516402650370019,0.043348132878856305
5,1,kid50k_full,512,0.0,0.0,0.005942756826826899,0.005942756826826899,0.0
5,1,kid50k_full,640,8.517946196198462e-05,2.565054054055882e-05,-0.0007118332832832626,-0.0007713622047046884,-5.95289214214258e-05
5,1,kid50k_full,768,-8.723758258259284e-05,0.00020779247247249694,-0.0008808913413413354,-0.0005858612862862456,0.00029503005505508977
5,1,kid50k_full,896,-0.00011001529029025254,0.00028435558808807826,-0.0006471543093092896,-0.0002527834309309588,0.0003943708783783308
5,1,kid50k_full,1024,0.00023789972472476606,3.911627627627319e-05,-0.0003401493143142956,-0.0005389327627627885,-0.00019878344844849287
5,1,fid50k_full,512,0.0,0.0,5.606324257114551,5.606324257114551,0.0
5,1,fid50k_full,640,0.07316163288381361,0.09933886632473943,-1.0803026595502256,-1.0541254261092998,0.026177233440925818
5,1,fid50k_full,768,-0.14215463232515013,0.2594238309027155,-1.2317457463811028,-0.8301672831532372,0.4015784632278656
5,1,fid50k_full,896,-0.17010079082960594,0.28565934822827543,-0.962738748795724,-0.5069786097378426,0.4557601390578814
5,1,fid50k_full,1024,0.10875461017936594,0.07493450633243803,-0.6711737711416967,-0.7049938749886246,-0.03382010384692791
5,2,kid50k_full,512,0.0,0.0,0.0027684981531531554,0.0027684981531531554,0.0
5,2,kid50k_full,640,-8.74020020018686e-06,-6.065005005043448e-06,-0.00041445820070067866,-0.00041178300550553525,2.675195195143195e-06
5,2,kid50k_full,768,5.674856606612596e-05,4.417599349350429e-05,-0.0002946619394393838,-0.00030723451201200547,-1.2572572572621668e-05
5,2,kid50k_full,896,-1.6270060060096306e-05,6.800116616620475e-05,-0.00015386727227226856,-6.95960460459675e-05,8.427122622630106e-05
5,2,kid50k_full,1024,-4.945748248248033e-05,-2.107951951948507e-05,-7.156530030032161e-05,-4.3187337337326345e-05,2.8377962962995154e-05
5,2,fid50k_full,512,0.0,0.0,1.7683846733324842,1.7683846733324842,0.0
5,2,fid50k_full,640,-0.00487786675931412,0.026622807091362333,-0.07396196150749912,-0.042461287656822666,0.03150067385067645
