seed,nfe,metric,budget_kimg,AA,AB,BA,BB
6,2,fid50k_full,640,4.109335476975026,4.144692552640234,3.7240148961992294,3.691535065274027
6,2,fid50k_full,768,3.561027796988839,3.7213902130022274,3.339662344526934,3.312814440535808
6,2,fid50k_full,896,3.139272377065579,3.3327042796323063,3.2104737649943127,3.2184848952865153
6,2,fid50k_full,1024,2.982469336294808,3.066463651900704,3.0592113004119765,3.078720129386102
7,1,kid50k_full,512,0.016914100452952975,0.016914100452952975,0.048818168120620634,0.048818168120620634
7,1,kid50k_full,640,0.011090155835835858,0.011343706951951922,0.0074110878228228145,0.007563881206206224
7,1,kid50k_full,768,0.008381503173173205,0.008734443270770734,0.006697757222222212,0.006941555042542545
7,1,kid50k_full,896,0.006961985783283262,0.007100086729229234,0.006022992327327302,0.006211559046546558
7,1,kid50k_full,1024,0.006149064769769775,0.0062179103303302875,0.0054201295045045025,0.005696745447947983
7,1,fid50k_full,512,23.405597863266564,23.405597863266564,58.07857948502185,58.07857948502185
7,1,fid50k_full,640,16.220878014008726,16.55321325893494,11.85514520155419,11.95793023770501
7,1,fid50k_full,768,12.825417103223534,13.23190950960088,10.74063480598611,10.990670394264644
7,1,fid50k_full,896,10.931086687845125,11.109345747339942,9.722300784609118,9.95691649510886
7,1,fid50k_full,1024,9.76113399886719,9.881176358732084,8.808817054314607,9.145345402103668
7,2,kid50k_full,512,0.009783876041041011,0.009783876041041011,0.0096230609884885,0.0096230609884885
7,2,kid50k_full,640,0.0016846916941941708,0.001758396664164161,0.0013996278953954241,0.0014048226126125792
7,2,kid50k_full,768,0.0018541960110110085,0.0019314601026026094,0.001602440788288277,0.001637324604604596
7,2,kid50k_full,896,0.001415265152652628,0.001374202890390411,0.0012079142917917898,0.0011813640465465505
7,2,kid50k_full,1024,0.0010474994894894736,0.0010016322922922836,0.0009805334684684567,0.0009533304154154258
7,2,fid50k_full,512,14.309356470795773,14.309356470795773,14.590522943844558,14.590522943844558
7,2,fid50k_full,640,4.603463619922151,4.726069560854224,3.672526299140049,3.6327236089090604
7,2,fid50k_full,768,3.623598173063562,3.7061415172984575,3.2898758747188435,3.2896362925216645
7,2,fid50k_full,896,3.2441560411624186,3.20527663951626,2.93192444970083,2.9325546935724045
7,2,fid50k_full,1024,3.037461922998093,2.9696021144499682,2.8129970487936045,2.794581748088466
