seed,arm,budget_kimg,nfe,mid_t,fid50k_full,kid50k_full,checkpoint_sha256,generated_feature_sha256,receipt_file
8,A,1024,2,0.821,3.779234844297494,0.0016457740015014997,6a907f8eed546fecb15f31219543698c6d541329e2e556b58ba62ef31ff7f715,6349cadb683bc5b16db61ab73d12e4b519412df7ac5a7f68c5711bf74d695c93,seed8-armA-k1024-nfe2.json
8,B,384,1,,120.79875420557492,0.1087030027477478,c2cbe5054c5b61ac2d8e80d19e19501fcfbb0502422f99d3a92c65d888f009cd,13f6222dcd1add8db03f93dfe634d64fa00beeb4ca7559570f7ec0d13b790cdc,seed8-armB-k384-nfe1.json
8,B,384,2,0.821,267.30771066557077,0.29387912655155163,c2cbe5054c5b61ac2d8e80d19e19501fcfbb0502422f99d3a92c65d888f009cd,5237204858201202f3dd405bdd0137bd2ad3472cee35a79fb8d52be10392edc5,seed8-armB-k384-nfe2.json
8,B,512,1,,25.854256667742376,0.017716991011011013,72473a66e2dc07585d2b718d101e8e9347cea0e98030a7b204e666a2fb8c3b0e,c8923d861fd9730b469a63477f76ecfec65c4fa8865ae0ff15f6d470f3c7b232,seed8-armB-k512-nfe1.json
8,B,512,2,0.821,119.11900222856812,0.11794555696946951,72473a66e2dc07585d2b718d101e8e9347cea0e98030a7b204e666a2fb8c3b0e,1979d09a56fa5eaf5b398c39b05168492bcd8097283012fe249a5cd3f56b7dc9,seed8-armB-k512-nfe2.json
8,B,640,1,,15.677900726049774,0.009981207342342386,2e0ea382ecd80d9bcd06ddef3dd14f317cb587f1298a48359a36c81c4c9b5311,539634483a0bef0a1d8525145acf15d287306fc25fead8160ddc2dab4bc69b4f,seed8-armB-k640-nfe1.json
8,B,640,2,0.821,22.280641013513108,0.014899556163663669,583fb734e4c870bd6fe4eed49140a31bfb36c25e634b7049e933e228673d1b5e,3d3325d25172c5757b3433455caea0156609a0310ceed5304147bbefbfd4a993,seed8-armB-k640-nfe2.json
8,B,768,1,,12.855596054816885,0.00782592744494499,11fa549d3d03205c8e0f87bde587a27086ba7c0fb841c6075ee802d2eb8c27fc,83e00212dd251f3125f5a51cb65d6630974eaa147771172dee538f5681454736,seed8-armB-k768-nfe1.json
8,B,768,2,0.821,5.903740476404614,0.0025882518393393187,11fa549d3d03205c8e0f87bde587a27086ba7c0fb841c6075ee802d2eb8c27fc,f991f4c7b2a96d5a3ffca1ea0c5f82e189a189c277f50067f714e2ff5a9ea288,seed8-armB-k768-nfe2.json
8,B,896,1,,11.25938163716072,0.006757442655155169,b10f848f553811185a7339574c549c45f209787999b8dfad4a0ea9c80b22e141,9e428bf5a161771e1dc50737dc91d2a8e264587e1202e81e34fe6b48288e3b34,seed8-armB-k896-nfe1.json
8,B,896,2,0.821,3.452985984203336,0.0014454261361361612,b10f848f553811185a7339574c549c45f209787999b8dfad4a0ea9c80b22e141,6c16742c3b02cd1a60f6048aed11b6e71835c2f521071a091bd353cc28f8e83a,seed8-armB-k896-nfe2.json
8,B,1024,1,,10.28118605790755,0.0061261839414414225,01823b66c681d9d10e488a4aefa717869b0bae9ae4b64dd9a27138c7c25cbb78,f9030a64594be93c59f481dce94280119666bca498e01cdbe7d7478c3ceac5be,seed8-armB-k1024-nfe1.json
8,B,1024,2,0.821,3.3352137385806824,0.001704333578578562,01823b66c681d9d10e488a4aefa717869b0bae9ae4b64dd9a27138c7c25cbb78,618db1c65f0176a17132e6633499e7f1cea815b90a1586e52f4c6f7bba621531,seed8-armB-k1024-nfe2.json
8,C,384,1,,275.97979962041506,0.3082024461186188,787d94c1eb4e914aeb58c9e7a8cc292b18a3e24c64ae4864e5f61e58d74b7b36,46fd83bb5f79cea5d7949b57799df30ddaf76659ecd5b3b501580ef5f7c46794,seed8-armC-k384-nfe1.json
8,C,384,2,0.821,261.72636671389375,0.29363234332832844,787d94c1eb4e914aeb58c9e7a8cc292b18a3e24c64ae4864e5f61e58d74b7b36,0a3b08587a792ae78647aa51a893bdd5fde600c12e866eba1d071a96af9b067f,seed8-armC-k384-nfe2.json
8,C,512,1,,117.13015306924343,0.1086214327877878,fc9d55f9ff18c67ae1cc804c51fb6c1f46481710ee2e943248663727733cda7d,fe028c1e1c07f6d49d054d405cc43bc75144cecbb625a174547371fc73566b5d,seed8-armC-k512-nfe1.json
8,C,512,2,0.821,255.0574893468791,0.2834629712737738,fc9d55f9ff18c67ae1cc804c51fb6c1f46481710ee2e943248663727733cda7d,e82a107c66533b3ef11991d2d7053c5eff42e174ecd64a0f3535ab2a8cbe2dff,seed8-armC-k512-nfe2.json
8,C,640,1,,29.28866692125796,0.019519783113113157,3eb1fea4139a5d3b25be1a26081f994cf34b812112fb5fb2dda3b96547fdd756,8c0c0796c931c7a1f5626326dd7fb764cad6535a134db18727c4a5dc9037585f,seed8-armC-k640-nfe1.json
8,C,640,2,0.821,124.40437210901554,0.12339666661161162,3eb1fea4139a5d3b25be1a26081f994cf34b812112fb5fb2dda3b96547fdd756,d9588c80f8f139a5466d680d3c8d07a1673be74766edc45aa7c5e8caeae504ae,seed8-armC-k640-nfe2.json
8,C,768,1,,19.44510792857448,0.01249142057807807,c228ccfbd1e556b0b50b6443a8c3233789f23f8bb758f2910be88a2b58a35a6a,38f2d760b732c38c264d710f265c9c0ee4d056aca7a713e02bb0b529ac5822d9,seed8-armC-k768-nfe1.json
8,C,768,2,0.821,32.607642389176135,0.024937251473973993,c228ccfbd1e556b0b50b6443a8c3233789f23f8bb758f2910be88a2b58a35a6a,2a28d8ebbbe266985463d25492ddcffe5dd90e0fea85b2e17344f01461629c3c,seed8-armC-k768-nfe2.json
8,C,896,1,,16.171822976956555,0.010169946626626597,97819384aa0f4814708bd73190ed452258680fb9c5de3c551c971ef837fd066f,35aef02580be7197ce2c46e24de85206c3e528e2d54b41545563cba8121a16de,seed8-armC-k896-nfe1.json
8,C,896,2,0.821,8.614182584375774,0.004772979697197197,97819384aa0f4814708bd73190ed452258680fb9c5de3c551c971ef837fd066f,ebf495f86f966b2915abe4450e4816e900ab1e144104375a5e531d5a5fe1ba17,seed8-armC-k896-nfe2.json
8,C,1024,1,,13.873191626104742,0.00861868643143143,7fe4674cc7089f7f36c8d9a2b53e031731547c80b9cd4c7f61888907fe9f0061,9bb39286b2b0f96046b4db098d567b14d7cd8c3939edd3f9d06ca2cc12120493,seed8-armC-k1024-nfe1.json
8,C,1024,2,0.821,4.129890933541126,0.0016961407032032047,7fe4674cc7089f7f36c8d9a2b53e031731547c80b9cd4c7f61888907fe9f0061,3174ac57f4ad1e6673e639dcfe82fbfee3ca8079a02d935c912900aa970761ed,seed8-armC-k1024-nfe2.json
