seed,horizon,space,block,contrast,value
3,500,state,v,target_effect_denominator_1p0,-3012.6380514742486
3,500,state,v,target_effect_denominator_1p1,-1400.066898436009
3,500,state,v,denominator_effect_target_1p0,-6555.720589138276
3,500,state,v,denominator_effect_target_1p1,-4943.149436100037
3,500,state,v,conditional_interaction,1612.5711530382396
4,0,observable,feature,target_effect_denominator_1p0,0.0
4,0,observable,feature,target_effect_denominator_1p1,0.0
4,0,observable,feature,denominator_effect_target_1p0,0.0
4,0,observable,feature,denominator_effect_target_1p1,0.0
4,0,observable,feature,conditional_interaction,0.0
4,0,observable,residual,target_effect_denominator_1p0,0.0
4,0,observable,residual,target_effect_denominator_1p1,0.0
4,0,observable,residual,denominator_effect_target_1p0,0.0
4,0,observable,residual,denominator_effect_target_1p1,0.0
4,0,observable,residual,conditional_interaction,0.0
4,0,state,EMA,target_effect_denominator_1p0,0.0
4,0,state,EMA,target_effect_denominator_1p1,0.0
4,0,state,EMA,denominator_effect_target_1p0,0.0
4,0,state,EMA,denominator_effect_target_1p1,0.0
4,0,state,EMA,conditional_interaction,0.0
4,0,state,m,target_effect_denominator_1p0,0.0
4,0,state,m,target_effect_denominator_1p1,0.0
4,0,state,m,denominator_effect_target_1p0,0.0
4,0,state,m,denominator_effect_target_1p1,0.0
4,0,state,m,conditional_interaction,0.0
4,0,state,net_buffer,target_effect_denominator_1p0,0.0
4,0,state,net_buffer,target_effect_denominator_1p1,0.0
4,0,state,net_buffer,denominator_effect_target_1p0,0.0
4,0,state,net_buffer,denominator_effect_target_1p1,0.0
4,0,state,net_buffer,conditional_interaction,0.0
4,0,state,scaler,target_effect_denominator_1p0,0.0
4,0,state,scaler,target_effect_denominator_1p1,0.0
4,0,state,scaler,denominator_effect_target_1p0,0.0
4,0,state,scaler,denominator_effect_target_1p1,0.0
4,0,state,scaler,conditional_interaction,0.0
4,0,state,theta,target_effect_denominator_1p0,0.0
4,0,state,theta,target_effect_denominator_1p1,0.0
4,0,state,theta,denominator_effect_target_1p0,0.0
4,0,state,theta,denominator_effect_target_1p1,0.0
4,0,state,theta,conditional_interaction,0.0
4,0,state,v,target_effect_denominator_1p0,0.0
4,0,state,v,target_effect_denominator_1p1,0.0
4,0,state,v,denominator_effect_target_1p0,0.0
4,0,state,v,denominator_effect_target_1p1,0.0
4,0,state,v,conditional_interaction,0.0
4,1,observable,feature,target_effect_denominator_1p0,-0.0042022650358291
4,1,observable,feature,target_effect_denominator_1p1,0.005472880976334693
4,1,observable,feature,denominator_effect_target_1p0,5.583262123920463e-05
4,1,observable,feature,denominator_effect_target_1p1,0.009730978633402998
