seed,horizon,arm,branch_label,space,block,value_norm
3,500,C,B384_to_C,state,theta,3962.2860567801463
3,500,C,B384_to_C,state,EMA,3962.1223223644
3,500,C,B384_to_C,state,m,505.50057009624686
3,500,C,B384_to_C,state,v,72707.6431059688
3,500,C,B384_to_C,state,net_buffer,1.4142135623730951
3,500,C,B384_to_C,state,scaler,128.0
3,500,C,B384_to_C,observable,residual,1.1269598873470816
3,500,C,B384_to_C,observable,feature,36.43366950636542
3,500,D,B384_to_D,state,theta,3962.2795859061926
3,500,D,B384_to_D,state,EMA,3962.1217490691165
3,500,D,B384_to_D,state,m,480.92885766227676
3,500,D,B384_to_D,state,v,69164.56056830478
3,500,D,B384_to_D,state,net_buffer,1.4142135623730951
3,500,D,B384_to_D,state,scaler,128.0
3,500,D,B384_to_D,observable,residual,1.028322501468611
3,500,D,B384_to_D,observable,feature,36.51272301306042
4,0,A,B384_to_A,state,theta,3962.3028140578504
4,0,A,B384_to_A,state,EMA,3962.119972285711
4,0,A,B384_to_A,state,m,443.60744147825164
4,0,A,B384_to_A,state,v,73515.86290198343
4,0,A,B384_to_A,state,net_buffer,1.4142135623730951
4,0,A,B384_to_A,state,scaler,128.0
4,0,A,B384_to_A,observable,residual,1.1526356459377765
4,0,A,B384_to_A,observable,feature,31.948633454220758
4,0,B,B384_to_B,state,theta,3962.3028140578504
4,0,B,B384_to_B,state,EMA,3962.119972285711
4,0,B,B384_to_B,state,m,443.60744147825164
4,0,B,B384_to_B,state,v,73515.86290198343
4,0,B,B384_to_B,state,net_buffer,1.4142135623730951
4,0,B,B384_to_B,state,scaler,128.0
4,0,B,B384_to_B,observable,residual,1.1526356459377765
4,0,B,B384_to_B,observable,feature,31.948633454220758
4,0,C,B384_to_C,state,theta,3962.3028140578504
4,0,C,B384_to_C,state,EMA,3962.119972285711
4,0,C,B384_to_C,state,m,443.60744147825164
4,0,C,B384_to_C,state,v,73515.86290198343
4,0,C,B384_to_C,state,net_buffer,1.4142135623730951
4,0,C,B384_to_C,state,scaler,128.0
4,0,C,B384_to_C,observable,residual,1.1526356459377765
4,0,C,B384_to_C,observable,feature,31.948633454220758
4,0,D,B384_to_D,state,theta,3962.3028140578504
4,0,D,B384_to_D,state,EMA,3962.119972285711
4,0,D,B384_to_D,state,m,443.60744147825164
4,0,D,B384_to_D,state,v,73515.86290198343
4,0,D,B384_to_D,state,net_buffer,1.4142135623730951
4,0,D,B384_to_D,state,scaler,128.0
4,0,D,B384_to_D,observable,residual,1.1526356459377765
4,0,D,B384_to_D,observable,feature,31.948633454220758
4,1,A,B384_to_A,state,theta,3962.302548060405
4,1,A,B384_to_A,state,EMA,3962.120059329306
4,1,A,B384_to_A,state,m,444.42397356375386
