evidence_group,evidence_status,source_pr,source_commit,source_file,seed,arm,budget_kimg,nfe,fid50k_full,kid50k_full
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,256,2,100.49738349413276,0.0882065039039039
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,384,1,246.58832288648017,0.2487853326951951
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,384,2,43.51187332074544,0.0323729063838838
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,512,1,23.48012958590614,0.0164621701601601
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,512,2,4.872803567215304,0.002257252585085
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,640,1,12.80566299436846,0.0082750412812812
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,640,2,3.63406789419328,0.0021414387862862
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,768,1,10.834847321922702,0.006892717525025
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,768,2,3.006762653715344,0.00129154753003
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,896,1,9.538515208681597,0.0060562180705705
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,896,2,2.848806275331812,0.0010487446121121
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,1024,1,8.686351455868186,0.0054362528603603
formal,formal deterministic replay,79,deddffa61fc6010c12f8ccfe59ed9a1d87dd80e3,results/q256_target_weight_replay_curve_seed3_5/fidkid50k-final-20260823/evaluation_results.csv,3,B,1024,2,2.8315297837924347,0.000989391066066
