arm,k,next_k,space,block,coordinate_count,b_norm,R_norm,delta_norm,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,closure_l2,closure_relative,closure_max_abs,closure_pass
B,4,5,observable,feature,49152,0.03784669531164412,0.03750462857272122,0.03859086336794513,-0.47544378390800923,0.5186552215255833,0.5055769900588913,0.9909617805172635,0.0,0.0,0.0,True
C,4,5,state,theta,55732739,0.0010226648121795198,0.008599986114724727,0.00881083119258334,0.1492422234516308,0.2617398757492283,0.9933921889807402,8.409388894877782,0.0,0.0,0.0,True
C,4,5,state,EMA,55732771,1.1196011987892178e-05,5.891297124275902e-05,5.917353860632595e-05,-0.07169692251433131,0.1178251870315848,0.9820310396745701,5.261960357533549,0.0,0.0,0.0,True
C,4,5,state,m,55732739,2.7646918034975774,6.8859414677024535,6.382842721695424,-0.37607419542899284,0.0274277330483458,0.9159260970384815,2.490672363187511,0.0,0.0,0.0,True
C,4,5,state,v,55732739,0.21732592517295043,0.7217005381036172,0.7405801883377857,-0.0625563598974798,0.23249199652449137,0.9561495574203389,3.320821193004377,0.0,0.0,0.0,True
C,4,5,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,4,5,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,4,5,observable,residual,393216,0.16822498906335426,0.17730386897600306,0.1761153665697027,-0.481438679102803,0.47051004235303373,0.5468793230552047,1.0539686758976674,0.0,0.0,0.0,True
C,4,5,observable,feature,49152,0.035617198172079804,0.03783844332538225,0.0368456691019435,-0.49815609202710337,0.45508054339645304,0.5453970456995749,1.0623643988662665,0.0,0.0,0.0,True
D,4,5,state,theta,55732739,0.0007411256551212532,0.007478765409607173,0.007805923588304922,0.4015407501527547,0.4796555699726551,0.9962123601584818,10.09108962552861,0.0,0.0,0.0,True
D,4,5,state,EMA,55732771,9.541920566313124e-06,5.0774826849393016e-05,5.1259389476112574e-05,-0.04293828023780002,0.1436173332782038,0.9825539029016435,5.321237637279112,0.0,0.0,0.0,True
D,4,5,state,m,55732739,1.8337492951126735,6.072871456817626,6.753128525078528,0.24076333860371485,0.48805144011811474,0.9646449101448739,3.3117239488533694,0.0,0.0,0.0,True
D,4,5,state,v,55732739,0.22550065773851982,2.3945084981247384,2.470714492144746,0.29623183857767094,0.3783643620499317,0.9961931985231174,10.618631990427719,0.0,0.0,0.0,True
D,4,5,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,4,5,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,4,5,observable,residual,393216,0.16090993375584886,0.1912584730186194,0.17980945141250887,-0.48968304228045145,0.3740287415253134,0.6254599312797058,1.1886057532583343,0.0,0.0,0.0,True
