layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block1.norm1,0.000566399258338953,0.0005450712432807519,0.996299583482773,0.9587834811818697,1.0352836480081786,0.08271204483311642,0.08613474867920155,0.0,510,512,0.99609375,1.0,0.9587834811818697,0.0826938338740008,0.6666666666666666,0.9648141538964853,1.6104508196721308,510,0.9586201283667197,0.08270889147309662,0.9626354717988942,0.003179465401686859,0.0031794654022968194,4.5327885286593836e-11,0.0005664517757801017,0.0005450367831018888,0.9586344667732841,1.0354456298295593,0.08269349859742266,0.08613918139614271,0.0
model.dec.16x16_block1.skip,0.007452571440837512,0.007155818617478946,0.9942687532658488,0.9546781150477355,1.0355012209234473,0.1026525095221299,0.10706988928313327,0.0,131309,131328,0.9998553240740741,1.0,0.9546781150477355,0.10264442067649868,0.32255277642304747,0.9550218784980157,1.5939340836248752,131309,0.9546776888853981,0.1026521885224134,0.9550285237998953,0.0008520101062842858,0.0008520101062196517,4.326310090496335e-09,0.007452568243241288,0.007155812281950688,0.9546776292651962,1.0355016390298968,0.10265292912780612,0.10707036777438649,0.0
model.dec.16x16_block2.affine,0.009249572963128576,0.008837197204565094,0.9968937038004467,0.9524489711678583,1.0434123892836118,0.07524744711798191,0.07988843999207695,0.0,131293,131328,0.9997334917153996,0.9999999999999999,0.9524489711678584,0.07523369315726075,0.4492405717719061,0.950937950937951,1.3731348611408565,131293,0.9524495943200353,0.07524304224408065,0.9509458641389994,0.0010173824117388338,0.0010173824182256003,8.305954816127475e-09,0.009249568010113172,0.00883719727125104,0.9524495525983203,1.0434118930306602,0.07524667510677595,0.07988743646517975,0.0
model.dec.16x16_block2.conv0,0.022261786399658354,0.021340397297732693,0.9942047880170207,0.9530558235846223,1.0371303926335065,0.10305332997004814,0.10775782306709246,0.0,1178977,1179904,0.9992143428617921,1.0000000000000002,0.9530558235846222,0.1030128123691739,0.3230769230769231,0.9553815118072861,1.588235294117647,1178977,0.9530555746661075,0.10304481632725714,0.9554031110322472,0.0019650678633025206,0.0019650678610742276,1.9409159623251823e-07,0.022261770732623854,0.021340366758536043,0.9530555794071176,1.037131635501763,0.10304910279428807,0.10775354775380235,0.0
model.dec.16x16_block2.conv1,0.015484496859553172,0.014826782624637724,0.9938049973737139,0.9515924734905412,1.0378900635711938,0.10641722005137275,0.11143477375335367,0.0,589541,590080,0.9990865645336225,0.9999999999999999,0.9515924734905413,0.10637606574695502,0.3,0.9537480063795853,1.6048387096774193,589541,0.9515948356578303,0.1064168716271905,0.9537240364966593,0.0024293768473482888,0.0024293768446143767,9.849262877615827e-08,0.015484474419858361,0.014826779270861212,0.9515946887528436,1.037889941099061,0.1064079472816336,0.1114249343230135,0.0
model.dec.16x16_block2.norm0,0.0007852706188136944,0.0007515473681535263,0.9962928267097814,0.9535072800191153,1.0409982360422747,0.08233236232939553,0.08673988895032056,0.0,1023,1024,0.9990234375,1.0,0.9535072800191153,0.0822582940941489,0.5558333333333334,0.9593023255813954,1.5512702445220703,1023,0.9535198722315527,0.08220948243428923,0.9592695862202056,0.001697545652509048,0.0016975456523119698,3.5262428406776676e-10,0.0007852856376701117,0.0007515669926335363,0.9535166234766862,1.040993891471651,0.08230187074362885,0.08670710689986126,0.0
model.dec.16x16_block2.norm1,0.0005499635982603502,0.0005256801192041006,0.9962424185076689,0.9522536309200841,1.0422632418582007,0.08278438977127074,0.0874768987047092,0.0,510,512,0.99609375,1.0,0.9522536309200841,0.08276785823717112,0.0,0.9529546837824379,1.3878888888888887,510,0.9524936739025407,0.08248272254108852,0.9536053844705825,0.00305622762926318,0.0030562276286386914,3.882866644035428e-11,0.000549859145408903,0.0005257065175002257,0.9524910636906574,1.0420224907964397,0.08270401054926398,0.08734131549445011,0.0
model.dec.16x16_block2.skip,0.0073533181554815055,0.007054951940561416,0.9940685673276363,0.9537335145619015,1.0361094597821043,0.104342334474339,0.10894547394040942,0.0,131304,131328,0.9998172514619883,1.0,0.9537335145619015,0.10433271598764457,0.29264496392748457,0.9540076843401826,1.603065384615384,131304,0.9537339379833559,0.10434319116503096,0.9540064485772972,0.0008734086504588187,0.0008734086503613204,5.0907331869551575e-09,0.007353314676201829,0.007054951819872447,0.9537340476764095,1.0361090939054138,0.10434148480064437,0.10894448917083246,0.0
model.dec.16x16_block3.affine,0.009824108237514523,0.009480777751886786,0.9973967973112952,0.962540022680413,1.0335158516490353,0.06958842288093914,0.07221774383256396,0.0,131292,131328,0.9997258771929824,1.0,0.962540022680413,0.06957864434415109,0.6473713736709344,0.9658481907878997,1.340821958391854,131292,0.9625394210686068,0.06958901597759326,0.9658554691420854,0.0008051287624798982,0.0008051287523097183,6.16074129934792e-09,0.009824113531364618,0.009480776239678503,0.9625393837200864,1.0335166091168866,0.06958791444986678,0.07221727943530448,0.0
model.dec.16x16_block3.conv0,0.022309878320149367,0.021371521901839056,0.9943325702351653,0.9525108114686698,1.037990591105212,0.10184274883187407,0.1066323325318619,0.0,1179059,1179904,0.9992838400412237,0.9999999999999998,0.95251081146867,0.1018080666515482,0.3246753246753247,0.9550438596491229,1.5754716981132075,1179059,0.9525095277678773,0.10184053519104427,0.9550458110148858,0.001980579968308019,0.001980579966808172,1.6490100200501966e-07,0.022309865819073838,0.021371472140630697,0.9525097683038746,1.037993124772522,0.10183657418776285,0.10662623965153896,0.0
