kimg,seed,method,nfe,fid50k,kid50k
12800,101,IA,2,3.2551848494668394,0.00195866142892894
12800,101,IB,1,5.375351240451324,0.0032045794019018876
12800,101,IB,2,3.2546323677901774,0.001893474767267221
12800,102,IA,1,5.4321979296262795,0.003357399702202174
12800,102,IA,2,3.3012174516886232,0.0020577277152152144
12800,102,IB,1,5.536642094130197,0.0033832961186186276
12800,102,IB,2,3.308902860371518,0.0019989525125124964
12800,103,IA,1,282.5018621948152,0.30822995168668677
12800,103,IA,2,254.73600120162428,0.29864265360110115
12800,103,IB,1,244.95487718288092,0.2608777627002001
12800,103,IB,2,218.59709598333512,0.26975562995996
