profile,nfe,metric,effect,arithmetic_definition,log_definition,n,per_seed_deltas_json,mean_delta,sample_sd_delta,ci95_low_delta,ci95_high_delta,negative_wins,positive_losses,ties,wins_of_3,per_seed_log_contrasts_json,mean_log_contrast,sample_sd_log_contrast,ci95_low_log_contrast,ci95_high_log_contrast,geometric_relative_percent,geometric_relative_ci95_low_percent,geometric_relative_ci95_high_percent
aggressive,2,kid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-0.01994907855987549,-0.0802479237318039,-0.02911725640296936]",-0.04310475289821625,0.03249192554959549,-0.12381916992527373,0.03760966412884123,3,0,0,3/3,"[-0.05619814012885138,-1.1992042200703712,-0.0706269691493765]",-0.44200977644953304,0.6557893082876762,-2.071080716865868,1.1870611639668018,-35.72566483231257,-87.39505157347459,227.74351956527582
aggressive,2,kid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[0.0027697384357452393,-0.041722092777490616,0.00033479928970336914]",-0.01287251835068067,0.025014109830598943,-0.07501101147709732,0.049265974775735986,1,2,0,1/3,"[0.007731075838454782,-0.2929152310901113,-8.452399060299154e-05]",-0.09508955974741984,0.17136661892507515,-0.5207878374109778,0.33060871791613816,-9.07085050951822,-40.59476531017142,39.18150934395782
aggressive,2,kid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-0.01936228573322296,-0.10185018740594387,-0.02227461338043213]",-0.04782902883986632,0.046806352055005794,-0.16410245232522944,0.06844439464549681,3,0,0,3/3,"[-0.054647898888932955,-1.3672998357172261,-0.05403142453180759]",-0.4919930530459889,0.7580379725665877,-2.375063754617458,1.3910776485254799,-38.85933867687204,-90.69914407034825,301.91789823470594
aggressive,2,kid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[-0.0005867928266525269,0.021602263674139977,-0.0068426430225372314]",0.004724275941650073,0.0149477010888597,-0.032407871780418165,0.041856423663718306,2,1,0,2/3,"[-0.0015502412399184262,0.16809561564685493,-0.016595544617568903]",0.04998327659645587,0.10256453463745986,-0.2048011500229471,0.30476770321585883,5.125351569224991,-18.51906748812308,35.63098999808669
aggressive,2,fid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-12.121965180121322,-76.61583443421699,-15.089670110433985]",-34.6091565749241,36.40909991635547,-125.05437410267093,55.836060952822734,3,0,0,3/3,"[-0.03768500766643346,-0.9372493000635598,-0.04202896397779465]",-0.3389877572359293,0.5181142467728341,-1.6260548877403858,0.9480793732685273,-28.7508828102884,-80.32959349859433,158.0748242264587
aggressive,2,fid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-11.397411244765408,-111.77641374477464,-14.17909319098601]",-45.78430606017535,57.16776317212607,-187.79690147055993,96.22828935020921,3,0,0,3/3,"[-0.0353808893405434,-1.1895342325372282,-0.03993358876340647]",-0.4216162368803927,0.6650403881030216,-2.0736681333815437,1.2304356596207584,-34.40142657734598,-87.42762366825288,242.27203525726298
aggressive,2,fid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[0.10247704138873814,34.73056947495195,-4.424378630314095]",10.136222628675531,21.41925601332402,-43.072158623763556,63.34460388111462,1,2,0,1/3,"[0.00031260561454082847,0.2435307275148757,-0.012141168031684302]",0.07723405503257741,0.14415169641222209,-0.28085860776187893,0.43532671782703375,8.029489526158551,-24.48649018260634,54.546790839197165
aggressive,2,fid5k_full,local_at_global1,combined - global,log(combined / global),3,"[0.827030976744652,-0.43000983560570916,-3.513801710866119]",-1.0389268565757253,2.2335603997380025,-6.587398438673719,4.509544725522269,2,1,0,2/3,"[0.0026167239404308873,-0.008754204958792755,-0.010045792817296118]",-0.005394424611885995,0.006967849427515278,-0.022703522024895843,0.011914672801123852,-0.5379900830988803,-2.244773646985341,1.1985935256816829
aggressive,2,fid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-11.29493420337667,-77.0458442698227,-18.603471821300104]",-35.64808343149982,36.0372672708182,-125.16961746839416,53.87345060539452,3,0,0,3/3,"[-0.03506828372600257,-0.9460035050223525,-0.05207475679509077]",-0.34438218184781527,0.5210887327560184,-1.6388383451050832,0.9500739814094528,-29.134195995064548,-80.57944889103526,158.59009608371687
aggressive,2,fid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[0.7245539353559138,-35.160579310557665,0.9105769194479763]",-11.175149485251259,20.772199788808507,-62.77615397986233,40.42585500935981,1,2,0,1/3,"[0.002304118325890059,-0.25228493247366846,0.0020953752143881843]",-0.0826284796444634,0.1469268351369581,-0.44761496915270976,0.28235800986378295,-7.930686006974863,-36.08492705917631,32.625344681911464
aggressive,2,fid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-11.759688212443365,-94.19612408949581,-14.634381650709997]",-40.19673131754973,46.78692958931138,-156.42190672375975,76.02844408866031,3,0,0,3/3,"[-0.03653294850348843,-1.063391766300394,-0.04098127637060056]",-0.380301997058161,0.5915772743587762,-1.8498614035464203,1.0892574094300984,-31.63450837397147,-84.27410396624981,197.20662245494927
aggressive,2,fid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[0.46475400906669506,17.15027981967312,-3.969090170590107]",4.548647886049903,11.136228674701927,-23.115277540178255,32.21257331227806,1,2,0,1/3,"[0.0014646647774858579,0.11738826127804147,-0.01109348042449021]",0.03591981521034571,0.0708326021775444,-0.14003812186369008,0.2118777522843815,3.657272579248136,-13.067490552564099,23.599677805981813
