job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed3-armCmatch-kimg000896-nfe1,3,Cmatch,896,1,,7.6391774158289589,0.0044554505130130059,50000,0,49999,20260730,fp32,data-card-partition,1787569971.1486702,1787569964.179663,SEALED_PASS
seed3-armCmatch-kimg000896-nfe2,3,Cmatch,896,2,0.821,2.7786997424667499,0.00087180970720721225,50000,0,49999,20260730,fp32,data-card-partition,1787570218.3473172,1787570211.4274757,SEALED_PASS
seed3-armCmatch-kimg001024-nfe1,3,Cmatch,1024,1,,7.3638463971114287,0.0043027240365365567,50000,0,49999,20260730,fp32,data-card-partition,1787570393.3268416,1787570386.0807002,SEALED_PASS
seed3-armCmatch-kimg001024-nfe2,3,Cmatch,1024,2,0.821,2.7856235619351692,0.00092152746496496551,50000,0,49999,20260730,fp32,data-card-partition,1787570640.1217465,1787570633.0406177,SEALED_PASS
seed3-armDmatch-kimg000256-nfe1,3,Dmatch,256,1,,335.97639988550964,0.36049036051551564,50000,0,49999,20260730,fp32,server-partition,1787570648.8779323,1787570633.2055624,SEALED_PASS
seed3-armDmatch-kimg000256-nfe2,3,Dmatch,256,2,0.821,251.13642274446761,0.26615036264514497,50000,0,49999,20260730,fp32,server-partition,1787570850.1297565,1787570823.2132444,SEALED_PASS
seed3-armDmatch-kimg000384-nfe1,3,Dmatch,384,1,,247.45362520547738,0.25676816517517531,50000,0,49999,20260730,fp32,server-partition,1787570855.6101556,1787570839.6332533,SEALED_PASS
seed3-armDmatch-kimg000384-nfe2,3,Dmatch,384,2,0.821,114.38445999398655,0.10845099016266267,50000,0,49999,20260730,fp32,server-partition,1787571109.3801777,1787571096.8656342,SEALED_PASS
seed3-armDmatch-kimg000512-nfe1,3,Dmatch,512,1,,22.162099524430438,0.016209561761761779,50000,0,49999,20260730,fp32,server-partition,1787571303.0247247,1787571292.0611498,SEALED_PASS
seed3-armDmatch-kimg000512-nfe2,3,Dmatch,512,2,0.821,15.396341104204303,0.010971919014014011,50000,0,49999,20260730,fp32,server-partition,1787571564.820661,1787571550.6472619,SEALED_PASS
seed3-armDmatch-kimg000640-nfe1,3,Dmatch,640,1,,17.71687204028958,0.012648201519019004,50000,0,49999,20260730,fp32,server-partition,1787571735.004257,1787571723.67848,SEALED_PASS
seed3-armDmatch-kimg000640-nfe2,3,Dmatch,640,2,0.821,4.9653205684698074,0.001968576336336323,50000,0,49999,20260730,fp32,server-partition,1787571824.6419437,1787571812.815411,SEALED_PASS
seed3-armDmatch-kimg000768-nfe1,3,Dmatch,768,1,,14.352906105003845,0.0098073918318318382,50000,0,49999,20260730,fp32,data-card-partition,1787570814.2281265,1787570807.9534209,SEALED_PASS
seed3-armDmatch-kimg000768-nfe2,3,Dmatch,768,2,0.821,3.7156364677863962,0.0020432662387387243,50000,0,49999,20260730,fp32,server-main,1787571132.2359962,1787571114.7670422,SEALED_PASS
seed3-armDmatch-kimg000896-nfe1,3,Dmatch,896,1,,12.03129942889726,0.0078832291141141247,50000,0,49999,20260730,fp32,server-main,1787571159.5974658,1787571125.0727634,SEALED_PASS
seed3-armDmatch-kimg000896-nfe2,3,Dmatch,896,2,0.821,3.2586716662284303,0.0015788505280280424,50000,0,49999,20260730,fp32,server-main,1787571224.483934,1787571207.7855859,SEALED_PASS
seed3-armDmatch-kimg001024-nfe1,3,Dmatch,1024,1,,10.562042639924904,0.0067177560985985972,50000,0,49999,20260730,fp32,server-main,1787571148.5797687,1787571140.9597855,SEALED_PASS
seed3-armDmatch-kimg001024-nfe2,3,Dmatch,1024,2,0.821,3.0248756749546732,0.0011661611936937062,50000,0,49999,20260730,fp32,server-main,1787571291.237582,1787571285.7666833,SEALED_PASS
seed4-armA-kimg000256-nfe1,4,A,256,1,,241.47772764637449,0.24418687661411409,50000,0,49999,20260730,fp32,server-main,1787561383.6336415,1787561318.8079212,SEALED_PASS
seed4-armA-kimg000256-nfe2,4,A,256,2,0.821,47.928665675034821,0.0387239603928929,50000,0,49999,20260730,fp32,server-main,1787561502.1807034,1787561396.4711611,SEALED_PASS
seed4-armA-kimg000384-nfe1,4,A,384,1,,117.86361191373416,0.10732546083083079,50000,0,49999,20260730,fp32,server-main,1787561387.1093671,1787561317.680639,SEALED_PASS
seed4-armA-kimg000384-nfe2,4,A,384,2,0.821,19.647795673909172,0.013812281056056058,50000,0,49999,20260730,fp32,server-main,1787561496.5160365,1787561399.146426,SEALED_PASS
seed4-armA-kimg000512-nfe1,4,A,512,1,,35.401343403328809,0.02848353842592594,50000,0,49999,20260730,fp32,server-main,1787561575.476695,1787561570.3859951,SEALED_PASS
seed4-armA-kimg000512-nfe2,4,A,512,2,0.821,7.7790085619577187,0.0043065289064064469,50000,0,49999,20260730,fp32,server-main,1787561644.8937392,1787561637.032895,SEALED_PASS
seed4-armA-kimg000640-nfe1,4,A,640,1,,11.815916273271572,0.0073585644419419116,50000,0,49999,20260730,fp32,server-main,1787561683.6578765,1787561673.081065,SEALED_PASS
