phase,label,gpu_index,elapsed_seconds,gpu_hours
evaluation,aee2e3625f2b6585219e700c,2,242.83299661427736,0.0674536101706326
evaluation,af5c28a4e439f804e44f9e26,1,762.1289092963561,0.21170247480454338
evaluation,af85e5afd4a27eae1b647eeb,3,760.9163072239608,0.21136564089554466
evaluation,b07c51e4ad3a83f628d2a7b3,4,273.4687502766028,0.07596354174350078
evaluation,b0cbeec409714c927ba7b23b,3,243.1096605323255,0.06753046125897931
evaluation,b0d8bf66d96dd1dcc20eede3,3,670.4871348198503,0.1862464263388473
evaluation,b356eaab1fb1a6c5bc27f407,1,274.42685357294977,0.0762296815480416
evaluation,b39194fe45de7ea2e0a68cb2,3,242.75350820086896,0.06743153005579694
evaluation,b4e99633f6895a0227aa9263,3,273.53552197664976,0.07598208943795827
evaluation,b59961668b628c674b786c27,0,914.7816362977028,0.25410601008269523
